This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
115 	 Suriname 	               0 	 2005 est.
116 	 Nauru 	               0 	 2005 est.
117 	 Nepal 	               0 	 2005 est.
118 	 Vanuatu 	               0 	 2005 est.
119 	 Niger 	               0 	 2005 est.
120 	 Niue 	               0 	 2005 est.
121 	 New Caledonia 	               0 	 2005 est.
122 	 Maldives 	               0 	 2005 est.
123 	 Zimbabwe 	               0 	 2005 est.
124 	 Zambia 	               0 	 2005 est.
125 	 Yemen 	               0 	 2005 est.
126 	 Swaziland 	               0 	 2005 est.
127 	 Samoa 	               0 	 2005 est.
128 	 Western Sahara 	               0 	 2005 est.
129 	 Namibia 	               0 	 2005 est.
130 	 Virgin Islands 	               0 	 2005 est.
131 	 British Virgin Islands 	               0 	 2005 est.
132 	 Saint Vincent and the Grenadines 	               0 	 2005 est.
133 	 Burkina Faso 	               0 	 2005 est.
134 	 Uganda 	               0 	 2005 est.
135 	 Tanzania 	               0 	 2005 est.
136 	 Sao Tome and Principe 	               0 	 2005 est.
137 	 Togo 	               0 	 2005 est.
138 	 Tonga 	               0 	 2005 est.
139 	 Turks and Caicos Islands 	               0 	 2005 est.
140 	 Sudan 	               0 	 2005 est.
141 	 Saint Lucia 	               0 	 2005 est.
142 	 Somalia 	               0 	 2005 est.
143 	 Sierra Leone 	               0 	 2005 est.
144 	 Saint Helena 	               0 	 2005 est.
145 	 Seychelles 	               0 	 2005 est.
146 	 Saint Kitts and Nevis 	               0 	 2005 est.
147 	 Saint Pierre and Miquelon 	               0 	 2005 est.
148 	 Rwanda 	               0 	 2005 est.
149 	 Guinea-Bissau 	               0 	 2005 est.
150 	 Panama 	               0 	 2005 est.
151 	 Paraguay 	               0 	 2005 est.
152 	 Nicaragua 	               0 	 2005 est.
153 	 Malta 	               0 	 2005 est.
154 	 Mauritania 	               0 	 2005 est.
155 	 Mauritius 	               0 	 2005 est.
156 	 Mali 	               0 	 2005 est.
157 	 Malawi 	               0 	 2005 est.
158 	 Montserrat 	               0 	 2005 est.
159 	 Macau 	               0 	 2005 est.
160 	 Madagascar 	               0 	 2005 est.
161 	 Lesotho 	               0 	 2005 est.
162 	 Liberia 	               0 	 2005 est.
163 	 Lebanon 	               0 	 2005 est.
164 	 Laos 	               0 	 2005 est.
165 	 Kiribati 	               0 	 2005 est.
166 	 Korea, North 	               0 	 2005 est.
167 	 Kenya 	               0 	 2005 est.
168 	 Jamaica 	               0 	 2005 est.
169 	 Iceland 	               0 	 2005 est.
170 	 Honduras 	               0 	 2005 est.
171 	 Haiti 	               0 	 2005 est.
172 	 Guyana 	               0 	 2005 est.
173 	 Guinea 	               0 	 2005 est.
174 	 Guatemala 	               0 	 2005 est.
175 	 Guam 	               0 	 2005 est.
176 	 Greenland 	               0 	 2005 est.
177 	 Grenada 	               0 	 2005 est.
178 	 Gibraltar 	               0 	 2005 est.
179 	 Ghana 	               0 	 2005 est.
180 	 Gambia, The 	               0 	 2005 est.
181 	 French Polynesia 	               0 	 2005 est.
182 	 Faroe Islands 	               0 	 2005 est.
183 	 Falkland Islands (Islas Malvinas) 	               0 	 2005 est.
184 	 Fiji 	               0 	 2005 est.
185 	 Ethiopia 	               0 	 2005 est.
186 	 El Salvador 	               0 	 2005 est.
187 	 Eritrea 	               0 	 2005 est.
188 	 Dominica 	               0 	 2005 est.
189 	 Djibouti 	               0 	 2005 est.
190 	 Cook Islands 	               0 	 2005 est.
191 	 Cape Verde 	               0 	 2005 est.
192 	 Central African Republic 	               0 	 2005 est.
193 	 Costa Rica 	               0 	 2005 est.
194 	 Comoros 	               0 	 2005 est.
195 	 Cameroon 	               0 	 2005 est.
196 	 Cayman Islands 	               0 	 2005 est.
197 	 Congo, Democratic Republic of the 	               0 	 2005 est.
198 	 Sri Lanka 	               0 	 2005 est.
199 	 Chad 	               0 	 2005 est.
200 	 Cambodia 	               0 	 2005 est.
201 	 Bhutan 	               0 	 2005 est.
202 	 Benin 	               0 	 2005 est.
203 	 Belize 	               0 	 2005 est.
204 	 Bermuda 	               0 	 2005 est.
205 	 American Samoa 	               0 	 2005 est.
206 	 Botswana 	               0 	 2005 est.
207 	 Antigua and Barbuda 	               0 	 2005 est.

 This file was last updated on 13 December, 2007
