This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
80 	 Slovakia 	     74.95 	 2007 est.
81 	 Turks and Caicos Islands 	     74.95 	 2007 est.
82 	 Croatia 	     74.90 	 2007 est.
83 	 Aruba 	     74.83 	 2007 est.
84 	 Sri Lanka 	     74.80 	 2007 est.
85 	 Bahrain 	     74.68 	 2007 est.
86 	 New Caledonia 	     74.50 	 2007 est.
87 	 Lithuania 	     74.44 	 2007 est.
88 	 Macedonia 	     74.21 	 2007 est.
89 	 Qatar 	     74.14 	 2007 est.
90 	 Saint Vincent and the Grenadines 	     74.09 	 2007 est.
91 	 Saint Lucia 	     74.08 	 2007 est.
92 	 Oman 	     73.62 	 2007 est.
93 	 Algeria 	     73.52 	 2007 est.
94 	 West Bank 	     73.46 	 2007 est.
95 	 Venezuela 	     73.28 	 2007 est.
96 	 Suriname 	     73.23 	 2007 est.
97 	 Solomon Islands 	     73.16 	 2007 est.
98 	 Lebanon 	     73.15 	 2007 est.
99 	 Jamaica 	     73.12 	 2007 est.
100 	 Dominican Republic 	     73.07 	 2007 est.
101 	 Barbados 	     73.00 	 2007 est.
102 	 Hungary 	     72.92 	 2007 est.
103 	 China 	     72.88 	 2007 est.
104 	 Turkey 	     72.88 	 2007 est.
105 	 Mauritius 	     72.88 	 2007 est.
106 	 Malaysia 	     72.76 	 2007 est.
107 	 Saint Kitts and Nevis 	     72.66 	 2007 est.
108 	 Bulgaria 	     72.57 	 2007 est.
109 	 Thailand 	     72.55 	 2007 est.
110 	 Antigua and Barbuda 	     72.42 	 2007 est.
111 	 Seychelles 	     72.34 	 2007 est.
112 	 Estonia 	     72.30 	 2007 est.
113 	 Colombia 	     72.27 	 2007 est.
114 	 Brazil 	     72.24 	 2007 est.
115 	 Gaza Strip 	     72.16 	 2007 est.
116 	 Armenia 	     72.12 	 2007 est.
117 	 Korea, North 	     71.92 	 2007 est.
118 	 Romania 	     71.91 	 2007 est.
119 	 El Salvador 	     71.78 	 2007 est.
120 	 Latvia 	     71.60 	 2007 est.
121 	 Egypt 	     71.57 	 2007 est.
122 	 Samoa 	     71.30 	 2007 est.
123 	 Morocco 	     71.22 	 2007 est.
124 	 Vietnam 	     71.07 	 2007 est.
125 	 Cape Verde 	     71.02 	 2007 est.
126 	 Nicaragua 	     70.92 	 2007 est.
127 	 Palau 	     70.71 	 2007 est.
128 	 Marshall Islands 	     70.61 	 2007 est.
129 	 Syria 	     70.61 	 2007 est.
130 	 Iran 	     70.56 	 2007 est.
131 	 Philippines 	     70.51 	 2007 est.
132 	 Micronesia, Federated States of 	     70.35 	 2007 est.
133 	 Greenland 	     70.23 	 2007 est.
134 	 Moldova 	     70.20 	 2007 est.
135 	 Indonesia 	     70.16 	 2007 est.
136 	 Peru 	     70.14 	 2007 est.
137 	 Fiji 	     70.12 	 2007 est.
138 	 Tonga 	     70.12 	 2007 est.
139 	 Belarus 	     70.05 	 2007 est.
140 	 Guatemala 	     69.69 	 2007 est.
141 	 Honduras 	     69.35 	 2007 est.
142 	 Iraq 	     69.31 	 2007 est.
143 	 Kyrgyzstan 	     68.81 	 2007 est.
144 	 Tuvalu 	     68.63 	 2007 est.
145 	 India 	     68.59 	 2007 est.
146 	 Turkmenistan 	     68.30 	 2007 est.
147 	 Belize 	     68.25 	 2007 est.
148 	 Ukraine 	     67.88 	 2007 est.
149 	 Sao Tome and Principe 	     67.64 	 2007 est.
150 	 Kazakhstan 	     67.22 	 2007 est.
151 	 Mongolia 	     66.99 	 2007 est.
152 	 Trinidad and Tobago 	     66.85 	 2007 est.
153 	 Timor-Leste 	     66.60 	 2007 est.
154 	 Bolivia 	     66.19 	 2007 est.
155 	 Guyana 	     66.17 	 2007 est.
156 	 Azerbaijan 	     65.96 	 2007 est.
157 	 Russia 	     65.87 	 2007 est.
158 	 World 	     65.82 	 2007 est.
159 	 Bahamas, The 	     65.66 	 2007 est.
160 	 Papua New Guinea 	     65.62 	 2007 est.
161 	 Grenada 	     65.21 	 2007 est.
162 	 Uzbekistan 	     64.98 	 2007 est.
163 	 Maldives 	     64.76 	 2007 est.
164 	 Tajikistan 	     64.61 	 2007 est.
165 	 Pakistan 	     63.75 	 2007 est.
166 	 Nauru 	     63.44 	 2007 est.
167 	 Vanuatu 	     63.22 	 2007 est.
168 	 Bangladesh 	     62.84 	 2007 est.
169 	 Comoros 	     62.73 	 2007 est.
170 	 Yemen 	     62.52 	 2007 est.
171 	 Burma 	     62.49 	 2007 est.
172 	 Kiribati 	     62.45 	 2007 est.
173 	 Mayotte 	     62.16 	 2007 est.
174 	 Madagascar 	     62.14 	 2007 est.
175 	 Cambodia 	     61.29 	 2007 est.
176 	 Nepal 	     60.56 	 2007 est.
177 	 Eritrea 	     59.55 	 2007 est.
178 	 Ghana 	     59.12 	 2007 est.
179 	 Togo 	     57.86 	 2007 est.
180 	 Congo, Democratic Republic of the 	     57.20 	 2007 est.
181 	 Haiti 	     57.03 	 2007 est.
182 	 Senegal 	     56.69 	 2007 est.
183 	 Laos 	     55.89 	 2007 est.
184 	 Kenya 	     55.31 	 2007 est.
185 	 Bhutan 	     55.17 	 2007 est.
186 	 Gambia, The 	     54.54 	 2007 est.
187 	 Gabon 	     53.99 	 2007 est.
188 	 Mauritania 	     53.51 	 2007 est.
189 	 Benin 	     53.44 	 2007 est.
190 	 Congo, Republic of the 	     53.29 	 2007 est.
191 	 Cameroon 	     52.86 	 2007 est.
192 	 Uganda 	     51.75 	 2007 est.
193 	 Burundi 	     51.29 	 2007 est.
194 	 Tanzania 	     50.71 	 2007 est.
195 	 Botswana 	     50.58 	 2007 est.
196 	 Guinea 	     49.65 	 2007 est.
197 	 Equatorial Guinea 	     49.51 	 2007 est.
198 	 Mali 	     49.51 	 2007 est.
199 	 Ethiopia 	     49.23 	 2007 est.
200 	 Burkina Faso 	     49.21 	 2007 est.
201 	 Sudan 	     49.11 	 2007 est.
202 	 Cote d'Ivoire 	     49.00 	 2007 est.
203 	 Rwanda 	     48.99 	 2007 est.
204 	 Somalia 	     48.84 	 2007 est.
205 	 Nigeria 	     47.44 	 2007 est.
206 	 Chad 	     47.20 	 2007 est.
207 	 Guinea-Bissau 	     47.18 	 2007 est.
208 	 Niger 	     44.03 	 2007 est.
209 	 Afghanistan 	     43.77 	 2007 est.
210 	 Central African Republic 	     43.74 	 2007 est.
211 	 Djibouti 	     43.25 	 2007 est.
212 	 Namibia 	     43.11 	 2007 est.
213 	 Malawi 	     42.98 	 2007 est.
214 	 South Africa 	     42.45 	 2007 est.
215 	 Mozambique 	     40.90 	 2007 est.
216 	 Sierra Leone 	     40.58 	 2007 est.
217 	 Liberia 	     40.39 	 2007 est.
218 	 Lesotho 	     39.97 	 2007 est.
219 	 Zimbabwe 	     39.50 	 2007 est.
220 	 Zambia 	     38.44 	 2007 est.
221 	 Angola 	     37.63 	 2007 est.
222 	 Swaziland 	     32.23 	 2007 est.

 This file was last updated on 13 December, 2007
