This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
1 	 Andorra 	     83.52 	 2007 est.
2 	 Macau 	     82.27 	 2007 est.
3 	 Japan 	     82.02 	 2007 est.
4 	 San Marino 	     81.80 	 2007 est.
5 	 Singapore 	     81.80 	 2007 est.
6 	 Hong Kong 	     81.68 	 2007 est.
7 	 Sweden 	     80.63 	 2007 est.
8 	 Australia 	     80.62 	 2007 est.
9 	 Switzerland 	     80.62 	 2007 est.
10 	 France 	     80.59 	 2007 est.
11 	 Guernsey 	     80.53 	 2007 est.
12 	 Iceland 	     80.43 	 2007 est.
13 	 Canada 	     80.34 	 2007 est.
14 	 Cayman Islands 	     80.20 	 2007 est.
15 	 Italy 	     79.94 	 2007 est.
16 	 Gibraltar 	     79.93 	 2007 est.
17 	 Monaco 	     79.82 	 2007 est.
18 	 Liechtenstein 	     79.81 	 2007 est.
19 	 Spain 	     79.78 	 2007 est.
20 	 Norway 	     79.67 	 2007 est.
21 	 Israel 	     79.59 	 2007 est.
22 	 Jersey 	     79.51 	 2007 est.
23 	 Faroe Islands 	     79.49 	 2007 est.
24 	 Greece 	     79.38 	 2007 est.
25 	 Austria 	     79.21 	 2007 est.
26 	 Virgin Islands 	     79.20 	 2007 est.
27 	 Malta 	     79.15 	 2007 est.
28 	 Netherlands 	     79.11 	 2007 est.
29 	 Luxembourg 	     79.03 	 2007 est.
30 	 Montserrat 	     79.00 	 2007 est.
31 	 New Zealand 	     78.96 	 2007 est.
32 	 Germany 	     78.95 	 2007 est.
33 	 Belgium 	     78.92 	 2007 est.
34 	 Guam 	     78.76 	 2007 est.
35 	 Saint Pierre and Miquelon 	     78.76 	 2007 est.
36 	 European Union 	     78.70 	 2007 est.
37 	 United Kingdom 	     78.70 	 2007 est.
38 	 Finland 	     78.66 	 2007 est.
39 	 Isle of Man 	     78.64 	 2007 est.
40 	 Jordan 	     78.55 	 2007 est.
41 	 Puerto Rico 	     78.54 	 2007 est.
42 	 Bosnia and Herzegovina 	     78.17 	 2007 est.
43 	 Bermuda 	     78.13 	 2007 est.
44 	 Saint Helena 	     78.09 	 2007 est.
45 	 United States 	     78.00 	 2007 est.
46 	 Cyprus 	     77.98 	 2007 est.
47 	 Denmark 	     77.96 	 2007 est.
48 	 Ireland 	     77.90 	 2007 est.
49 	 Portugal 	     77.87 	 2007 est.
50 	 Albania 	     77.60 	 2007 est.
51 	 Taiwan 	     77.56 	 2007 est.
52 	 Anguilla 	     77.46 	 2007 est.
53 	 Kuwait 	     77.36 	 2007 est.
54 	 Korea, South 	     77.23 	 2007 est.
55 	 Costa Rica 	     77.21 	 2007 est.
56 	 Cuba 	     77.08 	 2007 est.
57 	 Chile 	     76.96 	 2007 est.
58 	 Libya 	     76.88 	 2007 est.
59 	 British Virgin Islands 	     76.86 	 2007 est.
60 	 Ecuador 	     76.62 	 2007 est.
61 	 Slovenia 	     76.53 	 2007 est.
62 	 Czech Republic 	     76.42 	 2007 est.
63 	 Argentina 	     76.32 	 2007 est.
64 	 French Polynesia 	     76.31 	 2007 est.
65 	 Georgia 	     76.30 	 2007 est.
66 	 Northern Mariana Islands 	     76.29 	 2007 est.
67 	 American Samoa 	     76.25 	 2007 est.
68 	 Netherlands Antilles 	     76.24 	 2007 est.
69 	 Uruguay 	     75.93 	 2007 est.
70 	 Saudi Arabia 	     75.88 	 2007 est.
71 	 United Arab Emirates 	     75.69 	 2007 est.
72 	 Mexico 	     75.63 	 2007 est.
73 	 Paraguay 	     75.34 	 2007 est.
74 	 Tunisia 	     75.34 	 2007 est.
75 	 Brunei 	     75.30 	 2007 est.
76 	 Poland 	     75.19 	 2007 est.
77 	 Panama 	     75.19 	 2007 est.
78 	 Dominica 	     75.10 	 2007 est.
79 	 Serbia 	     75.06 	 2007 est.
