This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
141 	 Dominica 	     15.75 	 2007 est.
142 	 Qatar 	     15.56 	 2007 est.
143 	 Tunisia 	     15.54 	 2007 est.
144 	 Mauritius 	     15.26 	 2007 est.
145 	 Albania 	     15.16 	 2007 est.
146 	 Korea, North 	     15.06 	 2007 est.
147 	 Chile 	     15.03 	 2007 est.
148 	 British Virgin Islands 	     14.82 	 2007 est.
149 	 Netherlands Antilles 	     14.56 	 2007 est.
150 	 Uruguay 	     14.41 	 2007 est.
151 	 Ireland 	     14.40 	 2007 est.
152 	 United States 	     14.16 	 2007 est.
153 	 Faroe Islands 	     14.12 	 2007 est.
154 	 Anguilla 	     13.97 	 2007 est.
155 	 Thailand 	     13.73 	 2007 est.
156 	 Virgin Islands 	     13.68 	 2007 est.
157 	 New Zealand 	     13.61 	 2007 est.
158 	 Iceland 	     13.57 	 2007 est.
159 	 China 	     13.45 	 2007 est.
160 	 Saint Pierre and Miquelon 	     13.08 	 2007 est.
161 	 Trinidad and Tobago 	     13.07 	 2007 est.
162 	 France 	     12.91 	 2007 est.
163 	 Aruba 	     12.83 	 2007 est.
164 	 Puerto Rico 	     12.79 	 2007 est.
165 	 Barbados 	     12.61 	 2007 est.
166 	 Cayman Islands 	     12.60 	 2007 est.
167 	 Cyprus 	     12.56 	 2007 est.
168 	 Armenia 	     12.34 	 2007 est.
169 	 Australia 	     12.02 	 2007 est.
170 	 Macedonia 	     12.02 	 2007 est.
171 	 Saint Helena 	     11.93 	 2007 est.
172 	 Luxembourg 	     11.84 	 2007 est.
173 	 Cuba 	     11.44 	 2007 est.
174 	 Norway 	     11.27 	 2007 est.
175 	 Bermuda 	     11.26 	 2007 est.
176 	 Montenegro 	     11.18 	 2007 est.
177 	 Isle of Man 	     10.96 	 2007 est.
178 	 Russia 	     10.92 	 2007 est.
179 	 Denmark 	     10.91 	 2007 est.
180 	 Moldova 	     10.88 	 2007 est.
181 	 Canada 	     10.75 	 2007 est.
182 	 Netherlands 	     10.70 	 2007 est.
183 	 Gibraltar 	     10.69 	 2007 est.
184 	 Romania 	     10.67 	 2007 est.
185 	 United Kingdom 	     10.67 	 2007 est.
186 	 Slovakia 	     10.65 	 2007 est.
187 	 Portugal 	     10.59 	 2007 est.
188 	 Georgia 	     10.54 	 2007 est.
189 	 Finland 	     10.42 	 2007 est.
190 	 Belgium 	     10.29 	 2007 est.
191 	 Malta 	     10.28 	 2007 est.
192 	 Sweden 	     10.20 	 2007 est.
193 	 Estonia 	     10.17 	 2007 est.
194 	 Liechtenstein 	     10.02 	 2007 est.
195 	 European Union 	     10.00 	 2007 est.
196 	 Spain 	      9.98 	 2007 est.
197 	 Poland 	      9.94 	 2007 est.
198 	 Korea, South 	      9.93 	 2007 est.
199 	 San Marino 	      9.89 	 2007 est.
200 	 Hungary 	      9.66 	 2007 est.
201 	 Switzerland 	      9.66 	 2007 est.
202 	 Croatia 	      9.63 	 2007 est.
203 	 Bulgaria 	      9.62 	 2007 est.
204 	 Greece 	      9.62 	 2007 est.
205 	 Belarus 	      9.50 	 2007 est.
206 	 Ukraine 	      9.45 	 2007 est.
207 	 Latvia 	      9.43 	 2007 est.
208 	 Singapore 	      9.17 	 2007 est.
209 	 Monaco 	      9.12 	 2007 est.
210 	 Jersey 	      9.02 	 2007 est.
211 	 Slovenia 	      9.00 	 2007 est.
212 	 Taiwan 	      8.97 	 2007 est.
213 	 Czech Republic 	      8.96 	 2007 est.
214 	 Lithuania 	      8.87 	 2007 est.
215 	 Bosnia and Herzegovina 	      8.80 	 2007 est.
216 	 Austria 	      8.69 	 2007 est.
217 	 Guernsey 	      8.65 	 2007 est.
218 	 Macau 	      8.57 	 2007 est.
219 	 Italy 	      8.54 	 2007 est.
220 	 Andorra 	      8.45 	 2007 est.
221 	 Germany 	      8.20 	 2007 est.
222 	 Japan 	      8.10 	 2007 est.
223 	 Hong Kong 	      7.34 	 2007 est.

 This file was last updated on 13 December, 2007
