This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - main lines in use 	 Date of Information
135 	 Bahamas, The 	          133,100 	 2005
136 	 Madagascar 	          129,800 	 2006
137 	 Fiji 	          112,500 	 2005
138 	 Guyana 	          110,100 	 2005
139 	 Uganda 	          108,100 	 2006
140 	 Malawi 	          102,700 	 2005
141 	 Cameroon 	          100,300 	 2005
142 	 Somalia 	          100,000 	 2005
143 	 Angola 	           98,200 	 2006
144 	 Burkina Faso 	           94,800 	 2006
145 	 Zambia 	           94,700 	 2005
146 	 Laos 	           90,067 	 2006
147 	 Mali 	           82,500 	 2006
148 	 Togo 	           82,100 	 2006
149 	 Suriname 	           81,500 	 2006
150 	 Netherlands Antilles 	           81,000 	 2001
151 	 Brunei 	           80,200 	 2006
152 	 Guam 	           80,000 	 2001
153 	 Benin 	           76,300 	 2005
154 	 Jersey 	           73,900 	 2001
155 	 Virgin Islands 	           71,700 	 2005
156 	 Cape Verde 	           71,600 	 2006
157 	 Mozambique 	           67,000 	 2006
158 	 Papua New Guinea 	           63,700 	 2005
159 	 Bermuda 	           57,700 	 2006
160 	 New Caledonia 	           55,300 	 2005
161 	 French Polynesia 	           53,600 	 2006
162 	 Gambia, The 	           52,900 	 2006
163 	 Saint Lucia 	           51,100 	 2002
164 	 Isle of Man 	           51,000 	 1999
165 	 Lesotho 	           48,000 	 2005
166 	 Guernsey 	           45,100 	 2005
167 	 Swaziland 	           44,000 	 2006
168 	 Antigua and Barbuda 	           40,000 	 2006
169 	 Aruba 	           38,300 	 2005
170 	 Cayman Islands 	           38,000 	 2002
171 	 Eritrea 	           37,700 	 2006
172 	 Gabon 	           36,500 	 2006
173 	 Andorra 	           35,400 	 2005
174 	 Mauritania 	           34,900 	 2006
175 	 Monaco 	           34,000 	 2005
176 	 Belize 	           33,900 	 2006
177 	 Cambodia 	           32,800 	 2006
178 	 Maldives 	           32,500 	 2006
179 	 Bhutan 	           31,500 	 2006
180 	 Burundi 	           31,100 	 2005
181 	 Grenada 	           27,700 	 2006
182 	 Guinea 	           26,300 	 2005
183 	 Greenland 	           25,300 	 2002
184 	 Saint Kitts and Nevis 	           25,000 	 2004
185 	 Gibraltar 	           24,512 	 2002
186 	 Niger 	           24,000 	 2005
187 	 Sierra Leone 	           24,000 	 2002
188 	 Faroe Islands 	           23,000 	 2006
189 	 Saint Vincent and the Grenadines 	           22,600 	 2006
190 	 Rwanda 	           22,000 	 2005
191 	 Northern Mariana Islands 	           21,000 	 2000
192 	 Dominica 	           21,000 	 2004
193 	 San Marino 	           21,000 	 2006
194 	 Seychelles 	           20,700 	 2006
195 	 Liechtenstein 	           20,000 	 2005
196 	 Samoa 	           19,500 	 2005
197 	 Comoros 	           16,900 	 2005
198 	 Congo, Republic of the 	           15,900 	 2005
199 	 Tonga 	           13,700 	 2005
200 	 Chad 	           13,000 	 2006
201 	 Micronesia, Federated States of 	           12,400 	 2005
202 	 British Virgin Islands 	           11,700 	 2002
203 	 Djibouti 	           10,800 	 2005
204 	 American Samoa 	           10,400 	 2004
205 	 Guinea-Bissau 	           10,200 	 2005
206 	 Central African Republic 	           10,000 	 2005
207 	 Equatorial Guinea 	           10,000 	 2005
208 	 Mayotte 	           10,000 	 2002
209 	 Congo, Democratic Republic of the 	            9,700 	 2006
210 	 Solomon Islands 	            7,400 	 2005
211 	 Sao Tome and Principe 	            7,100 	 2005
212 	 Vanuatu 	            7,000 	 2005
213 	 Liberia 	            6,900 	 2002
214 	 Palau 	            6,700 	 2002
215 	 Anguilla 	            6,200 	 2002
216 	 Cook Islands 	            6,200 	 2002
217 	 Turks and Caicos Islands 	            5,700 	 2002
218 	 Holy See (Vatican City) 	            5,120 	 2005
219 	 Saint Pierre and Miquelon 	            4,800 	 2002
220 	 Kiribati 	            4,500 	 2002
221 	 Marshall Islands 	            4,500 	 2004
222 	 Norfolk Island 	            2,532 	 2004
223 	 Timor-Leste 	            2,500 	 2006
224 	 Falkland Islands (Islas Malvinas) 	            2,400 	 2002
225 	 Saint Helena 	            2,200 	 2002
226 	 Nauru 	            1,900 	 2002
227 	 Wallis and Futuna 	            1,900 	 2002
228 	 Niue 	            1,100 	 2002 est.
229 	 Tuvalu 	             700 	 2002
230 	 Tokelau 	             300 	 2002
231 	 Cocos (Keeling) Islands 	             287 	 1992
232 	 Pitcairn Islands 	               1 	 2004
233 	 Antarctica 	               0 	 2001

 This file was last updated on 13 December, 2007
