This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
123 	 Lebanon 	         1,500,000 	 2005 est.
124 	 Panama 	         1,439,000 	 2006 est.
125 	 Sierra Leone 	         1,369,000 	 1981 est.
126 	 Moldova 	         1,339,000 	 2006 est.
127 	 Togo 	         1,302,000 	 1998
128 	 Puerto Rico 	         1,300,000 	 2000
129 	 Uruguay 	         1,270,000 	 2006 est.
130 	 Jamaica 	         1,249,000 	 2006 est.
131 	 Armenia 	         1,200,000 	 November 2006
132 	 Kuwait 	         1,168,000 	 2006 est.
133 	 Latvia 	         1,136,000 	 2006 est.
134 	 Albania 	         1,090,000 	 September 2006 est.
135 	 Bosnia and Herzegovina 	         1,026,000 	 2001
136 	 Oman 	          920,000 	 2002 est.
137 	 Slovenia 	          911,000 	 2006 est.
138 	 Macedonia 	          880,000 	 2006 est.
139 	 Lesotho 	          838,000 	 2000
140 	 Mauritania 	          786,000 	 2001
141 	 Estonia 	          687,000 	 2006 est.
142 	 Namibia 	          657,000 	 2006 est.
143 	 Trinidad and Tobago 	          625,000 	 2006 est.
144 	 Gabon 	          574,000 	 2006 est.
145 	 West Bank 	          568,000 	 2005
146 	 Mauritius 	          541,000 	 2006 est.
147 	 Qatar 	          508,000 	 2006 est.
148 	 Guinea-Bissau 	          480,000 	 1999
149 	 Guyana 	          418,000 	 2001 est.
150 	 Gambia, The 	          400,000 	 1996
151 	 Cyprus 	          380,000 	 2006 est.
152 	 Bahrain 	          352,000 	 2006 est.
153 	 Swaziland 	          300,000 	 2006
154 	 Botswana 	          288,400 	 2004
155 	 Djibouti 	          282,000 	 2000
156 	 Montenegro 	          259,100 	 2004
157 	 Gaza Strip 	          259,000 	 2005
158 	 Solomon Islands 	          249,200 	 1999
159 	 Macau 	          248,000 	 2005
160 	 Luxembourg 	          203,000 	 2006 est.
161 	 Brunei 	          180,400 	 2006 est.
162 	 Bahamas, The 	          176,300 	 2004
163 	 Iceland 	          175,000 	 2006 est.
164 	 Malta 	          164,000 	 2006 est.
165 	 Suriname 	          156,700 	 2004
166 	 Comoros 	          144,500 	 1996 est.
167 	 Fiji 	          137,000 	 1999
168 	 Barbados 	          128,500 	 2001 est.
169 	 Cape Verde 	          120,600 	 1990
170 	 Belize 	          113,000 	 2006 est.
171 	 Maldives 	          101,300 	 2004
172 	 Cyprus 	           95,025 	 2006 est.
173 	 Samoa 	           90,000 	 2000 est.
174 	 Netherlands Antilles 	           83,600 	 2005
175 	 New Caledonia 	           78,990 	 2004
176 	 Vanuatu 	           76,410 	 1999
177 	 Niger 	           70,000 	 2002 est.
178 	 French Polynesia 	           65,930 	 December 2005
179 	 Guam 	           62,050 	 2002 est.
180 	 Jersey 	           53,560 	 June 2006
181 	 Mayotte 	           44,560 	 2002
182 	 Northern Mariana Islands 	           44,470 	 2000
183 	 Monaco 	           44,000 	 2005 est.
184 	 Virgin Islands 	           43,980 	 2004 est.
185 	 Saint Lucia 	           43,800 	 2001 est.
186 	 Andorra 	           42,420 	 2005
187 	 Grenada 	           42,300 	 1996
188 	 Saint Vincent and the Grenadines 	           41,680 	 1991 est.
189 	 Aruba 	           41,500 	 2004 est.
190 	 Isle of Man 	           39,690 	 2001
191 	 Bermuda 	           38,360 	 2004
192 	 Micronesia, Federated States of 	           37,410 	 2000
193 	 Sao Tome and Principe 	           35,050 	 1991
194 	 Tonga 	           33,910 	 2003
195 	 Greenland 	           32,120 	 2004
196 	 Guernsey 	           31,470 	 March 2006
197 	 Seychelles 	           30,900 	 1996
198 	 Antigua and Barbuda 	           30,000 	 1991
199 	 Liechtenstein 	           29,500 	 31 December 2001
200 	 Dominica 	           25,000 	 1999 est.
201 	 Faroe Islands 	           24,250 	 October 2000
202 	 Cayman Islands 	           23,450 	 2004
203 	 San Marino 	           20,470 	 2004
204 	 Saint Kitts and Nevis 	           18,170 	 June 1995
205 	 American Samoa 	           17,630 	 2005
206 	 Marshall Islands 	           14,680 	 2000
207 	 British Virgin Islands 	           12,770 	 2004
