This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - percent of GDP(%) 	 Date of Information
139 	 Austria 	      0.90 	 2005 est.
140 	 Kazakhstan 	      0.90 	 FY02
141 	 Luxembourg 	      0.90 	 2005 est.
142 	 Tonga 	      0.90 	 2006 est.
143 	 Somalia 	      0.90 	 2005 est.
144 	 Philippines 	      0.90 	 2005 est.
145 	 Ireland 	      0.90 	 2005 est.
146 	 Dominican Republic 	      0.80 	 2006
147 	 Sao Tome and Principe 	      0.80 	 2006
148 	 Japan 	      0.80 	 2006
149 	 Mozambique 	      0.80 	 2006
150 	 Ghana 	      0.80 	 2006 est.
151 	 Cape Verde 	      0.70 	 2005
152 	 Malta 	      0.70 	 2006 est.
153 	 Honduras 	      0.60 	 2006 est.
154 	 Nicaragua 	      0.60 	 2006
155 	 Suriname 	      0.60 	 2006 est.
156 	 Jamaica 	      0.60 	 2006 est.
157 	 Georgia 	      0.59 	 2005 est.
158 	 Barbados 	      0.50 	 2006 est.
159 	 Gambia, The 	      0.50 	 2006
160 	 Bahamas, The 	      0.50 	 2006
161 	 Mexico 	      0.50 	 2006 est.
162 	 Laos 	      0.50 	 2006
163 	 Costa Rica 	      0.40 	 2006
164 	 Guatemala 	      0.40 	 2006
165 	 Moldova 	      0.40 	 2005 est.
166 	 Haiti 	      0.40 	 2006
167 	 Mauritius 	      0.30 	 2006 est.
168 	 Trinidad and Tobago 	      0.30 	 2006
169 	 Tanzania 	      0.20 	 2005 est.
170 	 Bermuda 	      0.11 	 2005 est.
171 	 Equatorial Guinea 	      0.10 	 2006 est.
172 	 Iceland 	      0.00 	 2005 est.

 This file was last updated on 13 December, 2007
