This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
104 	 Bolivia 	 $       4,455,000,000 	 2006 est.
105 	 Algeria 	 $       4,413,000,000 	 2006 est.
106 	 Nicaragua 	 $       3,918,000,000 	 2006 est.
107 	 Honduras 	 $       3,901,000,000 	 2006 est.
108 	 Gabon 	 $       3,849,000,000 	 2006 est.
109 	 Cameroon 	 $       3,688,000,000 	 2006 est.
110 	 Cambodia 	 $       3,636,000,000 	 2006 est.
111 	 Mozambique 	 $       3,527,000,000 	 2006 est.
112 	 Oman 	 $       3,465,000,000 	 2006 est.
113 	 Ethiopia 	 $       3,406,000,000 	 2006 est.
114 	 Paraguay 	 $       3,362,000,000 	 2006 est.
115 	 Ghana 	 $       3,319,000,000 	 2006 est.
116 	 Guinea 	 $       3,226,000,000 	 2006 est.
117 	 Liberia 	 $       3,200,000,000 	 2005 est.
118 	 Laos 	 $       3,179,000,000 	 2006
119 	 Macau 	 $       3,100,000,000 	 2004
120 	 Iceland 	 $       3,073,000,000 	 2002
121 	 Nepal 	 $       3,070,000,000 	 March 2006
122 	 Somalia 	 $       3,000,000,000 	 2001 est.
123 	 Mali 	 $       2,800,000,000 	 2002
124 	 Trinidad and Tobago 	 $       2,729,000,000 	 2006 est.
125 	 Netherlands Antilles 	 $       2,680,000,000 	 2004
126 	 Zambia 	 $       2,513,000,000 	 2006 est.
127 	 Mauritania 	 $       2,500,000,000 	 2000
128 	 Kyrgyzstan 	 $       2,483,000,000 	 30 June 2006 est.
129 	 Moldova 	 $       2,482,000,000 	 2006 est.
130 	 Mauritius 	 $       2,419,000,000 	 2006 est.
131 	 Turkmenistan 	 $       2,400,000,000 	 2001 est.
132 	 Macedonia 	 $       2,365,000,000 	 2006 est.
133 	 Niger 	 $       2,100,000,000 	 2003 est.
134 	 Georgia 	 $       2,040,000,000 	 2004
135 	 Togo 	 $       2,000,000,000 	 2005
136 	 Azerbaijan 	 $       1,972,000,000 	 2006 est.
