This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
1 	 Azerbaijan 	           34.50 	 2006 est.
2 	 Equatorial Guinea 	           18.60 	 2005 est.
3 	 Maldives 	           18.00 	 2006 est.
4 	 Angola 	           16.10 	 2006 est.
5 	 Mauritania 	           14.10 	 2006 est.
6 	 Armenia 	           13.40 	 2006 est.
7 	 Kuwait 	           12.70 	 2006 est.
8 	 Latvia 	           11.90 	 2006 est.
9 	 Trinidad and Tobago 	           11.70 	 2006 est.
10 	 Estonia 	           11.40 	 2006 est.
11 	 China 	           11.10 	 2006 est.
12 	 Cuba 	           11.10 	 2006 est.
13 	 Liechtenstein 	           11.00 	 1999 est.
14 	 Dominican Republic 	           10.70 	 2006 est.
15 	 Cyprus 	           10.60 	 2006 est.
16 	 Kazakhstan 	           10.60 	 2006 est.
17 	 Ethiopia 	           10.60 	 2006 est.
18 	 Cambodia 	           10.50 	 2006 est.
19 	 Venezuela 	           10.30 	 2006 est.
20 	 Anguilla 	           10.20 	 2004 est.
21 	 Belarus 	            9.90 	 2006 est.
22 	 Georgia 	            9.40 	 2006 est.
23 	 India 	            9.40 	 2006 est.
24 	 Morocco 	            9.40 	 2006 est.
25 	 Sudan 	            9.30 	 2006 est.
26 	 United Arab Emirates 	            8.90 	 2006 est.
27 	 Bhutan 	            8.80 	 2005 est.
28 	 Argentina 	            8.50 	 2006 est.
29 	 Malawi 	            8.50 	 2006 est.
30 	 Laos 	            8.30 	 2006 est.
31 	 Slovakia 	            8.30 	 2006 est.
32 	 Vietnam 	            8.20 	 2006 est.
33 	 Panama 	            8.10 	 2006 est.
34 	 Afghanistan 	            8.00 	 2006 est.
35 	 Peru 	            8.00 	 2006 est.
36 	 Costa Rica 	            7.90 	 2006 est.
37 	 Mozambique 	            7.90 	 2006 est.
38 	 Singapore 	            7.90 	 2006 est.
