This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Roadways(km) 	 Date of Information
150 	 Kuwait 	            5,749 	 2004
151 	 New Caledonia 	            5,432 	 2000
152 	 Luxembourg 	            5,227 	 2004
153 	 Timor-Leste 	            5,000 	 2005
154 	 West Bank 	            4,996 	 2004
155 	 Suriname 	            4,304 	 2003
156 	 Haiti 	            4,160 	 1999
157 	 Eritrea 	            4,010 	 1999
158 	 Gambia, The 	            3,742 	 2004
159 	 Brunei 	            3,650 	 2005
160 	 Swaziland 	            3,594 	 2002
161 	 Bahrain 	            3,498 	 2003
162 	 Guinea-Bissau 	            3,455 	 2002
163 	 Fiji 	            3,440 	 1999
164 	 Singapore 	            3,234 	 2005
165 	 Djibouti 	            2,890 	 1999
166 	 Equatorial Guinea 	            2,880 	 1999
167 	 Belize 	            2,872 	 1999
168 	 Bahamas, The 	            2,693 	 1999
169 	 French Polynesia 	            2,590 	 1999
170 	 Samoa 	            2,337 	 2004
171 	 Malta 	            2,227 	 2004
172 	 Mauritius 	            2,020 	 2005
173 	 Hong Kong 	            1,955 	 2005
174 	 Barbados 	            1,600 	 2004
175 	 Solomon Islands 	            1,360 	 1999
176 	 Cape Verde 	            1,350 	 2000
177 	 Virgin Islands 	            1,257 	 2004
178 	 Qatar 	            1,230 	 1999
179 	 Antigua and Barbuda 	            1,165 	 2002
180 	 Grenada 	            1,127 	 1999
181 	 United Arab Emirates 	            1,088 	 1999
182 	 Vanuatu 	            1,070 	 1999
183 	 Guam 	             977 	 2004
184 	 Saint Lucia 	             910 	 2000
185 	 Comoros 	             880 	 1999
186 	 Saint Vincent and the Grenadines 	             829 	 2003
187 	 Isle of Man 	             800 	 1999
188 	 Cayman Islands 	             785 	 2002
189 	 Dominica 	             780 	 1999
190 	 Tonga 	             680 	 1999
191 	 Kiribati 	             670 	 1999
192 	 Northern Mariana Islands 	             536 	 2004
193 	 Faroe Islands 	             458 	 2003
194 	 Seychelles 	             458 	 2003
195 	 Bermuda 	             447 	 2002
196 	 Falkland Islands (Islas Malvinas) 	             440 	 2003
197 	 Macau 	             368 	 2005
198 	 Cook Islands 	             320 	 2003
199 	 Sao Tome and Principe 	             320 	 1999
200 	 Saint Kitts and Nevis 	             320 	 1999 est
201 	 Andorra 	             269 	 
202 	 Micronesia, Federated States of 	             240 	 1999
203 	 Niue 	             234 	 2001
204 	 Montserrat 	             227 	 2003
205 	 Saint Helena 	             198 	 2002
206 	 American Samoa 	             185 	 2004
207 	 British Virgin Islands 	             177 	 2002
208 	 Anguilla 	             175 	 2004
209 	 Christmas Island 	             142 	 2006
210 	 Turks and Caicos Islands 	             121 	 2003
211 	 San Marino 	             104 	 2003
212 	 Maldives 	              88 	 2006
213 	 Norfolk Island 	              80 	 2002
214 	 Marshall Islands 	              65 	 2002
215 	 Monaco 	              50 	 1999
216 	 Gibraltar 	              29 	 2002
217 	 Cocos (Keeling) Islands 	              22 	 2006
218 	 Tuvalu 	               8 	 2002

 This file was last updated on 13 December, 2007
