This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
1 	 Nauru 	     -3.60 	 1993
2 	 Libya 	     -1.00 	 2005 est.
3 	 New Caledonia 	     -0.60 	 2000 est.
4 	 Barbados 	     -0.50 	 2003 est.
5 	 Saint Vincent and the Grenadines 	     -0.40 	 2001 est.
6 	 Japan 	     -0.20 	 2005 est.
7 	 Guam 	      0.00 	 1999 est.
8 	 Niger 	      0.20 	 2004 est.
9 	 Brunei 	      0.30 	 2003 est.
10 	 Singapore 	      0.30 	 2005 est.
11 	 Antigua and Barbuda 	      0.40 	 2000 est.
12 	 Oman 	      0.40 	 2005 est.
13 	 Sweden 	      0.50 	 2005 est.
14 	 Saudi Arabia 	      0.60 	 2005 est.
15 	 Hong Kong 	      0.90 	 2005 est.
16 	 Dominica 	      1.00 	 2001 est.
17 	 Sierra Leone 	      1.00 	 2002 est.
18 	 Niue 	      1.00 	 1995
19 	 Maldives 	      1.00 	 2002 est.
20 	 Macedonia 	      1.00 	 2005 est.
21 	 Liechtenstein 	      1.00 	 2001
22 	 Micronesia, Federated States of 	      1.00 	 2002 est.
23 	 Bahamas, The 	      1.20 	 Year ending September 2004
24 	 Finland 	      1.20 	 2005 est.
25 	 Switzerland 	      1.20 	 2005 est.
26 	 Northern Mariana Islands 	      1.20 	 1997 est.
27 	 Israel 	      1.30 	 2005 est.
28 	 Bosnia and Herzegovina 	      1.40 	 2005 est.
29 	 Cameroon 	      1.50 	 2005 est.
30 	 French Polynesia 	      1.50 	 2002 est.
31 	 Gabon 	      1.50 	 2005 est.
32 	 Gibraltar 	      1.50 	 1998
33 	 French Guiana 	      1.50 	 2002 est.
34 	 Fiji 	      1.60 	 2002 est.
35 	 Netherlands 	      1.60 	 2005 est.
36 	 Peru 	      1.60 	 2005 est.
37 	 Greenland 	      1.60 	 1999 est.
38 	 Papua New Guinea 	      1.70 	 2005 est.
39 	 Saint Kitts and Nevis 	      1.70 	 2001 est.
40 	 Senegal 	      1.70 	 2005 est.
41 	 Cape Verde 	      1.80 	 2005 est.
42 	 Taiwan 	      1.80 	 2005 est.
