This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
1 	 Swaziland 	     30.35 	 2007 est.
2 	 Angola 	     24.81 	 2007 est.
3 	 Sierra Leone 	     22.64 	 2007 est.
4 	 Lesotho 	     22.49 	 2007 est.
5 	 South Africa 	     22.45 	 2007 est.
6 	 Liberia 	     22.24 	 2007 est.
7 	 Zimbabwe 	     21.76 	 2007 est.
8 	 Zambia 	     21.46 	 2007 est.
9 	 Niger 	     20.59 	 2007 est.
10 	 Mozambique 	     20.51 	 2007 est.
11 	 Afghanistan 	     19.96 	 2007 est.
12 	 Djibouti 	     19.23 	 2007 est.
13 	 Namibia 	     19.15 	 2007 est.
14 	 Central African Republic 	     18.46 	 2007 est.
15 	 Malawi 	     18.25 	 2007 est.
16 	 Chad 	     16.69 	 2007 est.
17 	 Nigeria 	     16.68 	 2007 est.
18 	 Mali 	     16.51 	 2007 est.
19 	 Guinea-Bissau 	     16.29 	 2007 est.
20 	 Somalia 	     16.28 	 2007 est.
21 	 Ukraine 	     16.07 	 2007 est.
22 	 Russia 	     16.04 	 2007 est.
23 	 Guinea 	     15.33 	 2007 est.
24 	 Burkina Faso 	     15.31 	 2007 est.
25 	 Equatorial Guinea 	     15.01 	 2007 est.
26 	 Rwanda 	     14.91 	 2007 est.
27 	 Cote d'Ivoire 	     14.74 	 2007 est.
28 	 Ethiopia 	     14.67 	 2007 est.
29 	 Sudan 	     14.39 	 2007 est.
30 	 Bulgaria 	     14.28 	 2007 est.
31 	 Belarus 	     13.98 	 2007 est.
32 	 Latvia 	     13.64 	 2007 est.
33 	 Botswana 	     13.63 	 2007 est.
34 	 Tanzania 	     13.36 	 2007 est.
35 	 Estonia 	     13.30 	 2007 est.
36 	 Burundi 	     13.17 	 2007 est.
37 	 Hungary 	     13.05 	 2007 est.
38 	 Monaco 	     12.92 	 2007 est.
39 	 Cameroon 	     12.66 	 2007 est.
40 	 Uganda 	     12.64 	 2007 est.
41 	 Congo, Republic of the 	     12.59 	 2007 est.
42 	 Bhutan 	     12.46 	 2007 est.
43 	 Gabon 	     12.45 	 2007 est.
44 	 Gambia, The 	     11.99 	 2007 est.
45 	 Benin 	     11.94 	 2007 est.
46 	 Mauritania 	     11.89 	 2007 est.
