This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
132 	 Cambodia 	      4.70 	 2006 est.
133 	 Equatorial Guinea 	      5.00 	 2006 est.
134 	 Cameroon 	      5.10 	 2006 est.
135 	 Namibia 	      5.10 	 2006 est.
136 	 Anguilla 	      5.30 	 2006 est.
137 	 Cape Verde 	      5.40 	 2006 est.
138 	 Bhutan 	      5.50 	 2005 est.
139 	 Congo, Republic of the 	      5.50 	 2006 est.
140 	 Honduras 	      5.60 	 2006 est.
141 	 Kyrgyzstan 	      5.60 	 2006 est.
142 	 Swaziland 	      5.70 	 2006 est.
143 	 Maldives 	      6.00 	 2005 est.
144 	 Lesotho 	      6.10 	 2006 est.
145 	 Tanzania 	      6.10 	 2006 est.
146 	 Cuba 	      6.20 	 2006 est.
147 	 Jordan 	      6.20 	 2006 est.
148 	 India 	      6.20 	 2006 est.
149 	 Philippines 	      6.30 	 2006 est.
150 	 Uruguay 	      6.40 	 2006 est.
151 	 Latvia 	      6.50 	 2006 est.
152 	 Puerto Rico 	      6.50 	 2003 est.
153 	 Solomon Islands 	      6.60 	 2005 est.
154 	 Guatemala 	      6.60 	 2006 est.
155 	 Romania 	      6.60 	 2006 est.
156 	 Uganda 	      6.60 	 2006 est.
157 	 Iceland 	      6.70 	 2006 est.
158 	 Bangladesh 	      6.80 	 2006 est.
159 	 Laos 	      6.80 	 2006 est.
160 	 Belarus 	      7.00 	 2006 est.
161 	 Mauritania 	      7.00 	 2003 est.
162 	 Guyana 	      7.20 	 2006 est.
163 	 Sudan 	      7.20 	 2006 est.
164 	 Bulgaria 	      7.30 	 2006 est.
165 	 Bosnia and Herzegovina 	      7.50 	 2006 est.
166 	 Vietnam 	      7.50 	 2006 est.
167 	 Dominican Republic 	      7.60 	 2006 est.
