This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Airports 	 Date of Information
1 	 World 	           49,973 	 2004
2 	 United States 	           14,857 	 2004 est.
3 	 Brazil 	            4,136 	 2004 est.
4 	 European Union 	            3,130 	 2004 est.
5 	 Russia 	            2,586 	 2004 est.
6 	 Mexico 	            1,833 	 2004 est.
7 	 Argentina 	            1,334 	 2004 est.
8 	 Canada 	            1,326 	 2004 est.
9 	 Bolivia 	            1,065 	 2004 est.
10 	 Colombia 	             980 	 2004 est.
11 	 Paraguay 	             878 	 2004 est.
12 	 South Africa 	             728 	 2004 est.
13 	 Indonesia 	             667 	 2004 est.
14 	 Ukraine 	             656 	 2004 est.
15 	 Papua New Guinea 	             571 	 2004 est.
16 	 Germany 	             550 	 2004 est.
17 	 France 	             478 	 2004 est.
18 	 China 	             472 	 2004 est.
19 	 United Kingdom 	             471 	 2004 est.
20 	 Guatemala 	             452 	 2004 est.
21 	 Australia 	             448 	 2004 est.
22 	 Zimbabwe 	             404 	 2004 est.
23 	 Venezuela 	             369 	 2004 est.
24 	 Chile 	             364 	 2004 est.
25 	 India 	             333 	 2004 est.
26 	 Kazakhstan 	             314 	 2004 est.
27 	 Iran 	             305 	 2004 est.
28 	 Philippines 	             255 	 2004 est.
29 	 Sweden 	             254 	 2004 est.
30 	 Angola 	             243 	 2004 est.
31 	 Peru 	             234 	 2004 est.
32 	 Congo, Democratic Republic of the 	             230 	 2004 est.
33 	 Uzbekistan 	             226 	 2004 est.
34 	 Kenya 	             221 	 2004 est.
35 	 Bulgaria 	             213 	 2004 est.
36 	 Ecuador 	             205 	 2004 est.
37 	 Saudi Arabia 	             201 	 2004 est.
38 	 Korea, South 	             179 	 2004 est.
39 	 Nicaragua 	             176 	 2004 est.
40 	 Japan 	             174 	 2004 est.
41 	 Cuba 	             170 	 2004 est.
42 	 Mozambique 	             158 	 2004 est.
43 	 Spain 	             156 	 2004 est.
44 	 Costa Rica 	             149 	 2004 est.
45 	 Finland 	             148 	 2004 est.
46 	 Libya 	             139 	 2004 est.
47 	 Algeria 	             137 	 2004 est.
48 	 Oman 	             136 	 2004 est.
49 	 Namibia 	             136 	 2004 est.
50 	 Italy 	             134 	 2004 est.
51 	 Belarus 	             133 	 2004 est.
52 	 Pakistan 	             131 	 2004 est.
53 	 Poland 	             123 	 2004 est.
54 	 Tanzania 	             123 	 2004 est.
55 	 Czech Republic 	             120 	 2004 est.
56 	 Turkey 	             119 	 2004 est.
57 	 Malaysia 	             117 	 2004 est.
58 	 Madagascar 	             116 	 2004 est.
59 	 New Zealand 	             116 	 2004 est.
60 	 Honduras 	             115 	 2004 est.
61 	 Iraq 	             111 	 2004 est.
62 	 Thailand 	             109 	 2004 est.
63 	 Zambia 	             109 	 2004 est.
64 	 Panama 	             105 	 2004 est.
65 	 Lithuania 	             102 	 2004 est.
66 	 Norway 	             101 	 2004 est.
67 	 Iceland 	              98 	 2004 est.
68 	 Denmark 	              97 	 2004 est.
69 	 Syria 	              92 	 2004 est.
70 	 Egypt 	              87 	 2004 est.
71 	 Botswana 	              85 	 2004 est.
72 	 Ethiopia 	              83 	 2004 est.
73 	 Greece 	              80 	 2004 est.
74 	 Burma 	              78 	 2004 est.
75 	 Korea, North 	              78 	 2004 est.
76 	 Sudan 	              75 	 2004 est.
77 	 El Salvador 	              73 	 2004 est.
78 	 Nigeria 	              70 	 2004 est.
79 	 Croatia 	              68 	 2004 est.
80 	 Portugal 	              65 	 2004 est.
81 	 Switzerland 	              65 	 2004 est.
82 	 Uruguay 	              64 	 2004 est.
83 	 Bahamas, The 	              63 	 2004 est.
84 	 Morocco 	              63 	 2004 est.
85 	 Romania 	              61 	 2004 est.
