This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
1 	 Botswana 	     29.36 	 2005 est.
2 	 Swaziland 	     28.82 	 2005 est.
3 	 Lesotho 	     28.67 	 2005 est.
4 	 Angola 	     24.50 	 2005 est.
5 	 Liberia 	     23.93 	 2005 est.
6 	 Sierra Leone 	     23.43 	 2005 est.
7 	 Zimbabwe 	     21.92 	 2005 est.
8 	 South Africa 	     21.32 	 2005 est.
9 	 Niger 	     21.19 	 2005 est.
10 	 Mozambique 	     20.99 	 2005 est.
11 	 Afghanistan 	     20.75 	 2005 est.
12 	 Zambia 	     20.23 	 2005 est.
13 	 Malawi 	     19.63 	 2005 est.
14 	 Djibouti 	     19.39 	 2005 est.
15 	 Central African Republic 	     18.81 	 2005 est.
16 	 Namibia 	     18.36 	 2005 est.
17 	 Mali 	     17.23 	 2005 est.
18 	 Nigeria 	     17.18 	 2005 est.
19 	 Somalia 	     16.97 	 2005 est.
20 	 Guinea-Bissau 	     16.73 	 2005 est.
21 	 Chad 	     16.71 	 2005 est.
22 	 Tanzania 	     16.71 	 2005 est.
23 	 Rwanda 	     16.32 	 2005 est.
24 	 Burkina Faso 	     15.92 	 2005 est.
25 	 Guinea 	     15.63 	 2005 est.
26 	 Ethiopia 	     15.06 	 2005 est.
27 	 Equatorial Guinea 	     15.04 	 2005 est.
28 	 Cote d'Ivoire 	     14.94 	 2005 est.
29 	 Kenya 	     14.65 	 2005 est.
30 	 Russia 	     14.52 	 2005 est.
31 	 Ukraine 	     14.43 	 2005 est.
32 	 Bulgaria 	     14.26 	 2005 est.
33 	 Belarus 	     14.15 	 2005 est.
34 	 Burundi 	     13.79 	 2005 est.
35 	 Latvia 	     13.70 	 2005 est.
36 	 Cameroon 	     13.63 	 2005 est.
37 	 Congo, Democratic Republic of the 	     13.54 	 2005 est.
38 	 Congo, Republic of the 	     13.30 	 2005 est.
39 	 Estonia 	     13.21 	 2005 est.
40 	 Hungary 	     13.19 	 2005 est.
41 	 Bhutan 	     12.94 	 2005 est.
42 	 Uganda 	     12.80 	 2005 est.
43 	 Moldova 	     12.79 	 2005 est.
44 	 Monaco 	     12.71 	 2005 est.
45 	 Gambia, The 	     12.52 	 2005 est.
46 	 Benin 	     12.49 	 2005 est.
47 	 Mauritania 	     12.44 	 2005 est.
48 	 Haiti 	     12.34 	 2005 est.
49 	 Gabon 	     12.03 	 2005 est.
50 	 Laos 	     11.83 	 2005 est.
51 	 Romania 	     11.74 	 2005 est.
52 	 Croatia 	     11.38 	 2005 est.
53 	 Madagascar 	     11.35 	 2005 est.
54 	 Isle of Man 	     11.26 	 2005 est.
55 	 Lithuania 	     10.92 	 2005 est.
56 	 Germany 	     10.55 	 2005 est.
57 	 Czech Republic 	     10.54 	 2005 est.
58 	 Serbia and Montenegro 	     10.49 	 2005 est.
59 	 Denmark 	     10.43 	 2005 est.
60 	 Portugal 	     10.43 	 2005 est.
61 	 Sweden 	     10.36 	 2005 est.
62 	 Trinidad and Tobago 	     10.36 	 2005 est.
63 	 Italy 	     10.30 	 2005 est.
64 	 Belgium 	     10.22 	 2005 est.
65 	 Slovenia 	     10.22 	 2005 est.
66 	 United Kingdom 	     10.18 	 2005 est.
67 	 Greece 	     10.15 	 2005 est.
68 	 European Union 	     10.10 	 July 2005 est.
69 	 Togo 	     10.01 	 2005 est.
70 	 Guernsey 	      9.95 	 2005 est.
71 	 Ghana 	      9.91 	 2005 est.
72 	 Eritrea 	      9.87 	 2005 est.
73 	 Azerbaijan 	      9.86 	 2005 est.
74 	 Burma 	      9.85 	 2005 est.
75 	 Poland 	      9.84 	 2005 est.
76 	 Finland 	      9.79 	 2005 est.
77 	 Austria 	      9.70 	 2005 est.
78 	 Spain 	      9.63 	 2005 est.
79 	 Senegal 	      9.59 	 2005 est.
80 	 Nepal 	      9.47 	 2005 est.
81 	 Kazakhstan 	      9.46 	 2005 est.
82 	 Norway 	      9.45 	 2005 est.
83 	 Slovakia 	      9.43 	 2005 est.
84 	 Jersey 	      9.19 	 2005 est.
85 	 Gibraltar 	      9.18 	 2005 est.
86 	 Sudan 	      9.16 	 2005 est.
87 	 Cambodia 	      9.15 	 2005 est.
88 	 Georgia 	      9.09 	 2005 est.
89 	 France 	      9.08 	 2005 est.
90 	 Uruguay 	      9.06 	 2005 est.
91 	 Bahamas, The 	      8.97 	 2005 est.
92 	 Japan 	      8.95 	 2005 est.
93 	 Turkmenistan 	      8.78 	 2005 est.
94 	 World 	      8.78 	 2005 est.
95 	 Barbados 	      8.74 	 2005 est.
96 	 Macedonia 	      8.73 	 2005 est.
97 	 Faroe Islands 	      8.69 	 2005 est.
98 	 Netherlands 	      8.68 	 2005 est.
99 	 Yemen 	      8.53 	 2005 est.
100 	 Switzerland 	      8.48 	 2005 est.
101 	 Saint Kitts and Nevis 	      8.47 	 2005 est.
