This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Investment (gross fixed)(% of GDP) 	 Date of Information
1 	 Azerbaijan 	     57.40 	 2005 est.
2 	 Equatorial Guinea 	     46.30 	 2005 est.
3 	 Mozambique 	     44.80 	 2005 est.
4 	 China 	     43.60 	 2005 est.
5 	 Seychelles 	     41.50 	 2005 est.
6 	 Guyana 	     36.20 	 2005 est.
7 	 Vietnam 	     35.80 	 2005 est.
8 	 Belize 	     35.40 	 2005 est.
9 	 Jamaica 	     32.40 	 2005 est.
10 	 Thailand 	     31.70 	 2005 est.
11 	 Korea, South 	     31.40 	 2005 est.
12 	 Sao Tome and Principe 	     31.20 	 2005 est.
13 	 Angola 	     30.60 	 2005 est.
14 	 Iran 	     30.50 	 2005 est.
15 	 Latvia 	     29.90 	 2005 est.
16 	 Lesotho 	     29.50 	 2005 est.
17 	 Congo, Republic of the 	     28.90 	 2005 est.
18 	 Croatia 	     28.10 	 2005 est.
19 	 Spain 	     28.10 	 2005 est.
20 	 Estonia 	     27.60 	 2005 est.
21 	 Haiti 	     27.40 	 2004 est.
22 	 Iceland 	     27.10 	 2005 est.
23 	 Nicaragua 	     27.10 	 2005 est.
24 	 Sri Lanka 	     27.00 	 2005 est.
25 	 Honduras 	     27.00 	 2005 est.
26 	 Eritrea 	     26.80 	 2005 est.
27 	 Madagascar 	     26.80 	 2005 est.
28 	 Cape Verde 	     26.40 	 2005 est.
29 	 Czech Republic 	     26.20 	 2005 est.
30 	 Malta 	     26.10 	 2005 est.
31 	 Zambia 	     25.90 	 2005 est.
32 	 Gambia, The 	     25.80 	 2005 est.
33 	 Slovakia 	     25.80 	 2005 est.
34 	 Ireland 	     25.60 	 2005 est.
35 	 Turkmenistan 	     25.60 	 2005 est.
36 	 Lebanon 	     25.50 	 2005 est.
37 	 Dominican Republic 	     25.40 	 2005 est.
38 	 Greece 	     25.30 	 2005 est.
39 	 Australia 	     24.80 	 2005 est.
40 	 Slovenia 	     24.80 	 2005 est.
41 	 India 	     24.80 	 2005 est.
42 	 Bangladesh 	     24.60 	 2005 est.
43 	 Georgia 	     24.60 	 2005 est.
44 	 Ghana 	     24.60 	 2005 est.
45 	 Gabon 	     24.50 	 2005 est.
46 	 Japan 	     24.40 	 2005 est.
47 	 Belarus 	     24.20 	 2005 est.
48 	 Venezuela 	     23.80 	 2005 est.
49 	 Botswana 	     23.60 	 2005 est.
50 	 New Zealand 	     23.60 	 2005 est.
51 	 Morocco 	     23.50 	 2005 est.
52 	 Romania 	     23.50 	 2005 est.
53 	 Uganda 	     23.40 	 2005 est.
54 	 Chile 	     23.20 	 2005 est.
55 	 Hungary 	     23.10 	 2005 est.
56 	 Nigeria 	     23.10 	 2005 est.
57 	 Armenia 	     23.00 	 2005 est.
58 	 Singapore 	     23.00 	 2005 est.
59 	 Algeria 	     22.80 	 2005 est.
60 	 Cambodia 	     22.80 	 2005 est.
61 	 Albania 	     22.60 	 2005 est.
