This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
1 	 Equatorial Guinea 	           18.60 	 2005 est.
2 	 Azerbaijan 	           18.30 	 2005 est.
3 	 Cyprus 	           15.40 	 
4 	 Angola 	           14.10 	 2005 est.
5 	 Chad 	           14.00 	 2005 est.
6 	 Liechtenstein 	           11.00 	 1999 est.
7 	 Faroe Islands 	           10.00 	 2001 est.
8 	 Georgia 	           10.00 	 2005 est.
9 	 China 	            9.20 	 2005 est.
10 	 Kazakhstan 	            9.00 	 2005 est.
11 	 Uganda 	            9.00 	 2005 est.
12 	 Qatar 	            8.80 	 2005 est.
13 	 Sudan 	            8.60 	 2005 est.
14 	 Libya 	            8.50 	 2005 est.
15 	 Pakistan 	            8.40 	 2005 est.
16 	 Venezuela 	            8.30 	 2005 est.
17 	 Argentina 	            8.20 	 2005 est.
18 	 Macau 	            8.20 	 2nd Quarter 2005
19 	 Afghanistan 	            8.00 	 2005 est.
20 	 Armenia 	            8.00 	 2005 est.
21 	 Tajikistan 	            8.00 	 2005 est.
22 	 Liberia 	            8.00 	 2005 est.
23 	 Belarus 	            7.80 	 2005 est.
24 	 Latvia 	            7.80 	 2005 est.
25 	 Vietnam 	            7.60 	 2005 est.
26 	 San Marino 	            7.50 	 2001 est.
27 	 Laos 	            7.20 	 2005 est.
28 	 Algeria 	            7.10 	 2005 est.
29 	 Cook Islands 	            7.10 	 2001 est.
30 	 Estonia 	            7.10 	 2005 est.
31 	 Gambia, The 	            7.10 	 2005 est.
32 	 India 	            7.10 	 2005 est.
33 	 Hong Kong 	            7.00 	 2005 est.
34 	 Mozambique 	            7.00 	 2005 est.
35 	 Turkmenistan 	            7.00 	 2005 est.
36 	 United Arab Emirates 	            6.70 	 2005 est.
37 	 Congo, Democratic Republic of the 	            6.50 	 2005 est.
38 	 Madagascar 	            6.50 	 2005 est.
39 	 Trinidad and Tobago 	            6.50 	 2005 est.
40 	 Ethiopia 	            6.50 	 2005 est.
41 	 Lithuania 	            6.40 	 2005 est.
42 	 Saudi Arabia 	            6.40 	 2005 est.
43 	 Uruguay 	            6.20 	 2005 est.
44 	 West Bank 	            6.20 	 2004 est.
45 	 Senegal 	            6.10 	 2005 est.
46 	 Tanzania 	            6.10 	 2005 est.
47 	 Albania 	            6.00 	 2005 est.
48 	 Moldova 	            6.00 	 2005 est.
49 	 Sao Tome and Principe 	            6.00 	 2004 est.
50 	 Bahrain 	            5.90 	 2005 est.
51 	 Russia 	            5.90 	 2005 est.
52 	 Iceland 	            5.90 	 2005 est.
53 	 Chile 	            5.90 	 2005 est.
54 	 Solomon Islands 	            5.80 	 2003 est.
55 	 Zambia 	            5.80 	 2005 est.
56 	 Peru 	            5.60 	 2005 est.
57 	 Burundi 	            5.50 	 2005 est.
58 	 Mongolia 	            5.50 	 2005 est.
59 	 Sierra Leone 	            5.50 	 2005 est.
60 	 Mauritania 	            5.50 	 2005 est.
61 	 Mali 	            5.50 	 2005 est.
62 	 Jordan 	            5.50 	 2005 est.
63 	 Cape Verde 	            5.50 	 2005 est.
64 	 Congo, Republic of the 	            5.50 	 2005 est.
65 	 Bulgaria 	            5.40 	 2005 est.
66 	 Uzbekistan 	            5.40 	 2005 est.
67 	 Bhutan 	            5.30 	 2003 est.
68 	 Indonesia 	            5.30 	 2005 est.
69 	 Bangladesh 	            5.20 	 2005 est.
70 	 Bosnia and Herzegovina 	            5.20 	 2005 est.
71 	 Romania 	            5.20 	 2005 est.
72 	 Nigeria 	            5.20 	 2005 est.
73 	 Cuba 	            5.20 	 2005 est.
74 	 Slovakia 	            5.10 	 2005 est.
75 	 Malaysia 	            5.10 	 2005 est.
76 	 Turkey 	            5.10 	 2005 est.
77 	 Cameroon 	            5.00 	 2005 est.
78 	 Kenya 	            5.00 	 2005 est.
79 	 Samoa 	            5.00 	 2002 est.
80 	 Burkina Faso 	            5.00 	 2005 est.
81 	 Ireland 	            4.90 	 2005 est.
82 	 Turks and Caicos Islands 	            4.90 	 2000 est.
83 	 Tunisia 	            4.90 	 2005 est.
84 	 Iran 	            4.80 	 2005 est.
85 	 Rwanda 	            4.80 	 2005 est.
86 	 Sri Lanka 	            4.70 	 2005 est.
87 	 Philippines 	            4.70 	 2005 est.
88 	 Czech Republic 	            4.60 	 2005 est.
89 	 Thailand 	            4.60 	 2005 est.
