This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - production(bbl/day) 	 Date of Information
1 	 World 	        84,790,000 	 2007 est.
2 	 Saudi Arabia 	        10,250,000 	 2007 est.
3 	 Russia 	         9,876,000 	 2007 est.
4 	 United States 	         8,457,000 	 2007 est.
5 	 Iran 	         4,033,000 	 2007 est.
6 	 China 	         3,725,000 	 2008 est.
7 	 Mexico 	         3,501,000 	 2007 est.
8 	 Canada 	         3,425,000 	 2007 est.
9 	 United Arab Emirates 	         2,948,000 	 2007 est.
10 	 European Union 	         2,674,000 	 2007
11 	 Venezuela 	         2,667,000 	 2007 est.
12 	 Kuwait 	         2,613,000 	 2007 est.
13 	 Norway 	         2,565,000 	 2007 est.
14 	 Nigeria 	         2,352,000 	 2007 est.
15 	 Brazil 	         2,277,000 	 2007 est.
16 	 Algeria 	         2,173,000 	 2007 est.
17 	 Iraq 	         2,094,000 	 2007 est.
18 	 Angola 	         1,910,000 	 2008 est.
19 	 Libya 	         1,845,000 	 2007 est.
20 	 United Kingdom 	         1,690,000 	 2007 est.
21 	 Kazakhstan 	         1,445,000 	 2007 est.
22 	 Qatar 	         1,125,000 	 2007 est.
23 	 Azerbaijan 	         1,099,000 	 2008 est.
24 	 Indonesia 	         1,044,000 	 2007 est.
25 	 India 	          880,500 	 2007 est.
26 	 Argentina 	          790,800 	 2007 est.
27 	 Malaysia 	          753,700 	 2008 est.
28 	 Oman 	          714,300 	 2007 est.
29 	 Egypt 	          664,000 	 2007 est.
30 	 Australia 	          600,000 	 2008 est.
31 	 Colombia 	          550,000 	 2008 est.
32 	 Ecuador 	          511,600 	 2007 est.
33 	 Sudan 	          466,100 	 2007 est.
34 	 Syria 	          433,200 	 2007 est.
35 	 Equatorial Guinea 	          368,500 	 2007 est.
36 	 Vietnam 	          350,700 	 2007 est.
37 	 Thailand 	          348,600 	 2007 est.
38 	 Yemen 	          320,600 	 2007 est.
39 	 Denmark 	          313,800 	 2007 est.
40 	 Congo, Republic of the 	          261,000 	 
41 	 Gabon 	          243,900 	 2007 est.
42 	 South Africa 	          199,100 	 2007 est.
43 	 Brunei 	          180,500 	 2007 est.
44 	 Turkmenistan 	          180,400 	 2007 est.
45 	 Italy 	          166,600 	 2007 est.
46 	 Trinidad and Tobago 	          163,300 	 2007 est.
47 	 Chad 	          156,000 	 2008 est.
48 	 Germany 	          148,100 	 2007 est.
49 	 Japan 	          129,800 	 2007 est.
50 	 Peru 	          125,000 	 2008 est.
51 	 Romania 	          112,400 	 2007 est.
52 	 Ukraine 	          102,400 	 2007 est.
53 	 Uzbekistan 	           99,260 	 2007 est.
54 	 Netherlands 	           88,950 	 2007 est.
55 	 Cameroon 	           87,400 	 2008 est.
56 	 Tunisia 	           86,210 	 2007 est.
57 	 Timor-Leste 	           78,480 	 2007 est.
58 	 France 	           69,680 	 2007 est.
59 	 Pakistan 	           68,670 	 2007 est.
60 	 Bolivia 	           61,790 	 2007 est.
61 	 Cuba 	           61,300 	 2008 est.
62 	 Cote d'Ivoire 	           54,400 	 2008 est.
63 	 Bahrain 	           48,610 	 2007 est.
64 	 New Zealand 	           47,850 	 2007 est.
65 	 Turkey 	           42,800 	 2007 est.
66 	 Papua New Guinea 	           42,100 	 2008 est.
67 	 Poland 	           37,670 	 2007 est.
68 	 Belarus 	           33,700 	 2007 est.
69 	 Hungary 	           32,580 	 2007 est.
70 	 Spain 	           29,000 	 2007 est.
71 	 Austria 	           24,920 	 2007 est.
72 	 Philippines 	           23,930 	 2007 est.
73 	 Croatia 	           23,620 	 2007 est.
74 	 Congo, Democratic Republic of the 	           22,160 	 2007 est.
75 	 Burma 	           21,900 	 2007 est.
76 	 Korea, South 	           20,970 	 2007 est.
77 	 Virgin Islands 	           17,620 	 2007 est.
