This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Net migration rate(migrant(s)/1,000 population) 	 Date of Information
128 	 Cuba 	           -1.57 	 2008 est.
129 	 Guinea 	           -1.63 	 2008 est.
130 	 Azerbaijan 	           -1.97 	 2008 est.
131 	 Sao Tome and Principe 	           -1.97 	 2008 est.
132 	 Bahamas, The 	           -2.14 	 2008 est.
133 	 Guatemala 	           -2.26 	 2008 est.
134 	 Qatar 	           -2.28 	 2008 est.
135 	 Latvia 	           -2.29 	 2008 est.
136 	 Saint Kitts and Nevis 	           -2.31 	 2008 est.
137 	 Dominican Republic 	           -2.40 	 2008 est.
138 	 Congo, Republic of the 	           -2.52 	 2008 est.
139 	 Kyrgyzstan 	           -2.55 	 2008 est.
140 	 Fiji 	           -2.62 	 2008 est.
141 	 Zambia 	           -2.63 	 2008 est.
142 	 Turkmenistan 	           -3.00 	 2008 est.
143 	 Uzbekistan 	           -3.04 	 2008 est.
144 	 Estonia 	           -3.24 	 2008 est.
145 	 Chad 	           -3.27 	 2008 est.
146 	 Iran 	           -3.28 	 2008 est.
147 	 Kazakhstan 	           -3.31 	 2008 est.
148 	 El Salvador 	           -3.40 	 2008 est.
149 	 Bulgaria 	           -3.41 	 2008 est.
150 	 Gabon 	           -3.62 	 2008 est.
151 	 Mexico 	           -3.84 	 2008 est.
152 	 Saint Lucia 	           -4.33 	 2008 est.
153 	 Georgia 	           -4.36 	 2008 est.
154 	 Albania 	           -4.41 	 2008 est.
155 	 Armenia 	           -4.95 	 2008 est.
156 	 Saint Pierre and Miquelon 	           -4.97 	 2008 est.
157 	 Seychelles 	           -5.11 	 2008 est.
158 	 Dominica 	           -5.46 	 2008 est.
159 	 Marshall Islands 	           -5.52 	 2008 est.
160 	 Virgin Islands 	           -5.72 	 2008 est.
161 	 Jamaica 	           -5.88 	 2008 est.
162 	 Mali 	           -5.97 	 2008 est.
163 	 Greenland 	           -5.99 	 2008 est.
164 	 Saudi Arabia 	           -6.82 	 2008 est.
165 	 American Samoa 	           -7.17 	 2008 est.
166 	 Guyana 	           -7.45 	 2008 est.
167 	 Saint Vincent and the Grenadines 	           -7.56 	 2008 est.
168 	 Ecuador 	           -7.98 	 2008 est.
169 	 Samoa 	           -9.14 	 2008 est.
170 	 Trinidad and Tobago 	          -11.20 	 2008 est.
171 	 Grenada 	          -11.23 	 2008 est.
172 	 Cape Verde 	          -11.74 	 2008 est.
173 	 Micronesia, Federated States of 	          -21.04 	 2008 est.

 This file was last updated on 18 December, 2008
