This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - exports(cu m) 	 Date of Information
1 	 World 	    929,900,000,000 	 2007 est.
2 	 Russia 	    237,200,000,000 	 2007 est.
3 	 Canada 	    107,300,000,000 	 2007 est.
4 	 Norway 	     86,100,000,000 	 2007 est.
5 	 European Union 	     76,480,000,000 	 2005 est.
6 	 Algeria 	     59,400,000,000 	 2007 est.
7 	 Netherlands 	     55,660,000,000 	 2007 est.
8 	 Turkmenistan 	     49,400,000,000 	 2007 est.
9 	 Qatar 	     39,300,000,000 	 2007 est.
10 	 Indonesia 	     32,600,000,000 	 2007 est.
11 	 Malaysia 	     31,600,000,000 	 2007 est.
12 	 United States 	     23,280,000,000 	 2007 est.
13 	 Nigeria 	     21,200,000,000 	 2007 est.
14 	 Australia 	     19,910,000,000 	 2007 est.
15 	 Trinidad and Tobago 	     18,100,000,000 	 2007 est.
16 	 Egypt 	     15,700,000,000 	 2007 est.
17 	 Uzbekistan 	     14,010,000,000 	 2007 est.
18 	 Oman 	     13,100,000,000 	 2007 est.
19 	 Germany 	     12,220,000,000 	 2007 est.
20 	 Bolivia 	     11,700,000,000 	 2007 est.
21 	 United Kingdom 	     10,400,000,000 	 2007 est.
22 	 Burma 	      9,900,000,000 	 2007 est.
23 	 Libya 	      9,900,000,000 	 2007 est.
24 	 Brunei 	      9,400,000,000 	 2007 est.
25 	 Kazakhstan 	      8,100,000,000 	 2007 est.
26 	 United Arab Emirates 	      6,848,000,000 	 2005 est.
27 	 Iran 	      6,200,000,000 	 2007 est.
28 	 Denmark 	      4,517,000,000 	 2007 est.
29 	 Ukraine 	      4,000,000,000 	 2006 est.
30 	 Mexico 	      2,973,000,000 	 2007 est.
31 	 Austria 	      2,767,000,000 	 2007 est.
32 	 China 	      2,690,000,000 	 2007 est.
33 	 Argentina 	      2,600,000,000 	 2007 est.
34 	 France 	       966,000,000 	 2007 est.
35 	 Czech Republic 	       402,000,000 	 2007 est.
36 	 Slovakia 	       180,000,000 	 2007 est.
37 	 Hungary 	       138,000,000 	 2007 est.
38 	 Italy 	        68,000,000 	 2007 est.
39 	 Poland 	        45,000,000 	 2007 est.
40 	 Turkey 	        31,000,000 	 2007 est.
41 	 Aruba 	               0 	 2007 est.
42 	 Azerbaijan 	               0 	 2007 est.
43 	 Bahrain 	               0 	 2007 est.
44 	 Botswana 	               0 	 2007 est.
45 	 Solomon Islands 	               0 	 2007 est.
46 	 Belarus 	               0 	 2007 est.
47 	 Benin 	               0 	 2007 est.
48 	 Bosnia and Herzegovina 	               0 	 2007 est.
49 	 Belize 	               0 	 2007 est.
50 	 Bangladesh 	               0 	 2007 est.
51 	 Bahamas, The 	               0 	 2007 est.
52 	 Belgium 	               0 	 2007 est.
53 	 Bermuda 	               0 	 2007 est.
54 	 Cuba 	               0 	 2007 est.
55 	 Central African Republic 	               0 	 2007 est.
56 	 Costa Rica 	               0 	 2007 est.
57 	 Colombia 	               0 	 2007 est.
58 	 Comoros 	               0 	 2007 est.
59 	 Cameroon 	               0 	 2007 est.
60 	 Cayman Islands 	               0 	 2007 est.
61 	 Chile 	               0 	 2007 est.
62 	 Congo, Democratic Republic of the 	               0 	 2007 est.
