This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Central bank discount rate(%) 	 Date of Information
54 	 Papua New Guinea 	            7.38 	 31 December 2007
55 	 Jordan 	            7.00 	 31 December 2007
56 	 Antigua and Barbuda 	            6.50 	 31 December 2007
57 	 Anguilla 	            6.50 	 31 December 2007
58 	 Vietnam 	            6.50 	 31 December 2007
59 	 Saint Vincent and the Grenadines 	            6.50 	 31 December 2007
60 	 Saint Lucia 	            6.50 	 31 December 2007
61 	 Saint Kitts and Nevis 	            6.50 	 31 December 2007
62 	 Macedonia 	            6.50 	 31 December 2007
63 	 Montserrat 	            6.50 	 31 December 2007
64 	 Guyana 	            6.50 	 31 December 2007
65 	 Grenada 	            6.50 	 31 December 2007
66 	 Dominica 	            6.50 	 31 December 2007
67 	 Bolivia 	            6.50 	 31 December 2007
68 	 Albania 	            6.25 	 31 December 2007
69 	 Norway 	            6.25 	 31 December 2007
70 	 Nepal 	            6.25 	 31 December 2007
71 	 Kuwait 	            6.25 	 31 December 2007
72 	 Chile 	            6.00 	 31 December 2007
73 	 Vanuatu 	            6.00 	 31 December 2007
74 	 Latvia 	            6.00 	 31 December 2007
75 	 India 	            6.00 	 31 December 2007
76 	 Hong Kong 	            5.75 	 31 December 2007
77 	 Peru 	            5.75 	 31 December 2007
78 	 Comoros 	            5.36 	 31 December 2007
79 	 Bahamas, The 	            5.25 	 31 December 2007
80 	 Congo, Democratic Republic of the 	            5.25 	 31 December 2007
81 	 Cambodia 	            5.25 	 31 December 2007
82 	 Chad 	            5.25 	 31 December 2007
83 	 Gabon 	            5.25 	 31 December 2007
84 	 Equatorial Guinea 	            5.25 	 31 December 2007
85 	 Central African Republic 	            5.25 	 31 December 2007
86 	 Seychelles 	            5.13 	 31 December 2007
87 	 Aruba 	            5.00 	 31 December 2007
88 	 Poland 	            5.00 	 31 December 2007
89 	 European Union 	            5.00 	 31 December 2007
90 	 Cyprus 	            5.00 	 31 December 2007
91 	 Bangladesh 	            5.00 	 31 December 2007
92 	 Lithuania 	            4.85 	 31 December 2007
93 	 United States 	            4.83 	 31 December 2007
94 	 Bulgaria 	            4.58 	 31 December 2007
95 	 Canada 	            4.50 	 31 December 2007
96 	 Philippines 	            4.28 	 31 December 2007
97 	 Benin 	            4.25 	 31 December 2007
98 	 Slovakia 	            4.25 	 31 December 2007
99 	 Mali 	            4.25 	 31 December 2007
100 	 Senegal 	            4.25 	 31 December 2007
101 	 Burkina Faso 	            4.25 	 31 December 2007
102 	 Togo 	            4.25 	 31 December 2007
103 	 Guinea-Bissau 	            4.25 	 31 December 2007
104 	 Niger 	            4.25 	 31 December 2007
105 	 Cote d'Ivoire 	            4.25 	 31 December 2007
106 	 Algeria 	            4.00 	 31 December 2007
107 	 Israel 	            4.00 	 31 December 2007
108 	 Libya 	            4.00 	 31 December 2007
109 	 Denmark 	            4.00 	 31 December 2007
110 	 Thailand 	            3.75 	 31 December 2007
111 	 Czech Republic 	            3.50 	 31 December 2007
112 	 Sweden 	            3.50 	 31 December 2007
113 	 China 	            3.33 	 31 December 2007
114 	 Korea, South 	            3.25 	 31 December 2007
115 	 Morocco 	            3.25 	 31 December 2007
116 	 Switzerland 	            2.05 	 31 December 2007
117 	 Oman 	            1.98 	 31 December 2007
118 	 Japan 	            0.75 	 31 December 2007

 This file was last updated on 18 December, 2008
