This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Birth rate(births/1,000 population) 	 Date of Information
1 	 Niger 	     49.62 	 2008 est.
2 	 Mali 	     49.38 	 2008 est.
3 	 Uganda 	     48.15 	 2008 est.
4 	 Afghanistan 	     45.82 	 2008 est.
5 	 Sierra Leone 	     45.08 	 2008 est.
6 	 Burkina Faso 	     44.68 	 2008 est.
7 	 Somalia 	     44.12 	 2008 est.
8 	 Angola 	     44.09 	 2008 est.
9 	 Ethiopia 	     43.97 	 2008 est.
10 	 Congo, Democratic Republic of the 	     43.00 	 2008 est.
11 	 Liberia 	     42.92 	 2008 est.
12 	 Yemen 	     42.42 	 2008 est.
13 	 Malawi 	     41.79 	 2008 est.
14 	 Congo, Republic of the 	     41.76 	 2008 est.
15 	 Burundi 	     41.72 	 2008 est.
16 	 Chad 	     41.61 	 2008 est.
17 	 Zambia 	     40.52 	 2008 est.
18 	 Mauritania 	     40.14 	 2008 est.
19 	 Rwanda 	     39.97 	 2008 est.
20 	 Western Sahara 	     39.95 	 2008 est.
21 	 Benin 	     39.80 	 2008 est.
22 	 Mayotte 	     39.79 	 2008 est.
23 	 Sao Tome and Principe 	     39.12 	 2008 est.
24 	 Djibouti 	     38.61 	 2008 est.
25 	 Madagascar 	     38.38 	 2008 est.
26 	 Gambia, The 	     38.36 	 2008 est.
27 	 Mozambique 	     38.21 	 2008 est.
28 	 Kenya 	     37.89 	 2008 est.
29 	 Guinea 	     37.84 	 2008 est.
30 	 Gaza Strip 	     37.75 	 2008 est.
31 	 Nigeria 	     37.23 	 2008 est.
32 	 Equatorial Guinea 	     37.04 	 2008 est.
33 	 Togo 	     36.66 	 2008 est.
34 	 Senegal 	     36.52 	 2008 est.
35 	 Guinea-Bissau 	     36.40 	 2008 est.
36 	 Comoros 	     35.78 	 2008 est.
37 	 Gabon 	     35.75 	 2008 est.
38 	 Haiti 	     35.69 	 2008 est.
39 	 Oman 	     35.26 	 2008 est.
40 	 Tanzania 	     35.12 	 2008 est.
41 	 Eritrea 	     34.94 	 2008 est.
42 	 Cameroon 	     34.59 	 2008 est.
43 	 Laos 	     34.46 	 2008 est.
44 	 Sudan 	     34.31 	 2008 est.
45 	 Central African Republic 	     33.13 	 2008 est.
