This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
1 	 Nauru 	     -3.60 	 1993
2 	 San Marino 	     -1.50 	 2006
3 	 Northern Mariana Islands 	     -0.80 	 2000
4 	 Burkina Faso 	     -0.20 	 2007 est.
5 	 Japan 	      0.10 	 2007 est.
6 	 Niger 	      0.10 	 2007 est.
7 	 Kiribati 	      0.20 	 2007 est.
8 	 Brunei 	      0.40 	 2007 est.
9 	 Israel 	      0.50 	 2007 est.
10 	 Switzerland 	      0.70 	 2007 est.
11 	 Norway 	      0.80 	 2007 est.
12 	 Central African Republic 	      0.90 	 2007 est.
13 	 Papua New Guinea 	      0.90 	 2007 est.
14 	 Greenland 	      1.00 	 2005 est.
15 	 Liechtenstein 	      1.00 	 2001
16 	 Togo 	      1.00 	 2007 est.
17 	 Cameroon 	      1.10 	 2007 est.
18 	 French Polynesia 	      1.10 	 2006 est.
19 	 Benin 	      1.30 	 2007 est.
20 	 Malta 	      1.30 	 2007 est.
21 	 New Caledonia 	      1.40 	 2000 est.
22 	 Antigua and Barbuda 	      1.50 	 2007 est.
23 	 France 	      1.50 	 2007 est.
24 	 Bosnia and Herzegovina 	      1.60 	 2007 est.
25 	 Netherlands 	      1.60 	 2007 est.
26 	 Denmark 	      1.70 	 2007 est.
27 	 Mayotte 	      1.70 	 2005
28 	 Belgium 	      1.80 	 2007 est.
29 	 Taiwan 	      1.80 	 2007 est.
30 	 Peru 	      1.80 	 2007 est.
31 	 Italy 	      1.80 	 2007 est.
32 	 Faroe Islands 	      1.80 	 2005
33 	 European Union 	      1.80 	 2006 est.
34 	 Cote d'Ivoire 	      1.90 	 2007 est.
35 	 Monaco 	      1.90 	 2000
36 	 Saint Lucia 	      1.90 	 2007 est.
37 	 Hong Kong 	      2.00 	 2007 est.
38 	 Kosovo 	      2.00 	 2007 est.
39 	 Morocco 	      2.00 	 2007 est.
40 	 British Virgin Islands 	      2.00 	 2005
41 	 Malaysia 	      2.00 	 2007 est.
42 	 Canada 	      2.10 	 2007 est.
43 	 Cook Islands 	      2.10 	 2005 est.
44 	 Singapore 	      2.10 	 2007 est.
45 	 Netherlands Antilles 	      2.10 	 2003 est.
46 	 Austria 	      2.20 	 2007 est.
47 	 Virgin Islands 	      2.20 	 2003
48 	 Thailand 	      2.20 	 2007 est.
49 	 Micronesia, Federated States of 	      2.20 	 2005
50 	 Sweden 	      2.20 	 2007 est.
51 	 Australia 	      2.30 	 2007 est.
52 	 Luxembourg 	      2.30 	 2007 est.
53 	 Macedonia 	      2.30 	 2007 est.
54 	 Belize 	      2.30 	 2007 est.
55 	 United Kingdom 	      2.30 	 2007 est.
56 	 Germany 	      2.30 	 2007 est.
57 	 Ecuador 	      2.30 	 2007 est.
58 	 Bahamas, The 	      2.40 	 2007 est.
59 	 Portugal 	      2.40 	 2007 est.
60 	 New Zealand 	      2.40 	 2007 est.
61 	 Cyprus 	      2.40 	 2007 est.
62 	 Finland 	      2.50 	 2007 est.
63 	 Korea, South 	      2.50 	 2007 est.
64 	 Poland 	      2.50 	 2007 est.
