This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
1 	 Angola 	    182.31 	 2008 est.
2 	 Sierra Leone 	    156.48 	 2008 est.
3 	 Afghanistan 	    154.67 	 2008 est.
4 	 Liberia 	    143.89 	 2008 est.
5 	 Niger 	    115.42 	 2008 est.
6 	 Somalia 	    110.97 	 2008 est.
7 	 Mozambique 	    107.84 	 2008 est.
8 	 Mali 	    103.83 	 2008 est.
9 	 Guinea-Bissau 	    101.64 	 2008 est.
10 	 Zambia 	    100.96 	 2008 est.
11 	 Chad 	    100.36 	 2008 est.
12 	 Djibouti 	     99.13 	 2008 est.
13 	 Nigeria 	     95.74 	 2008 est.
14 	 Malawi 	     90.55 	 2008 est.
15 	 Sudan 	     86.98 	 2008 est.
16 	 Burkina Faso 	     86.02 	 2008 est.
17 	 Equatorial Guinea 	     83.75 	 2008 est.
18 	 Rwanda 	     83.42 	 2008 est.
19 	 Congo, Democratic Republic of the 	     83.11 	 2008 est.
20 	 Ethiopia 	     82.64 	 2008 est.
21 	 Central African Republic 	     82.13 	 2008 est.
22 	 Congo, Republic of the 	     81.29 	 2008 est.
23 	 Laos 	     79.61 	 2008 est.
24 	 Lesotho 	     78.59 	 2008 est.
25 	 Western Sahara 	     71.13 	 2008 est.
26 	 Tanzania 	     70.46 	 2008 est.
27 	 Cote d'Ivoire 	     69.76 	 2008 est.
28 	 Swaziland 	     69.59 	 2008 est.
29 	 Gambia, The 	     68.72 	 2008 est.
30 	 Comoros 	     68.58 	 2008 est.
31 	 Guinea 	     67.41 	 2008 est.
32 	 Pakistan 	     66.94 	 2008 est.
33 	 Mauritania 	     66.65 	 2008 est.
34 	 Benin 	     66.20 	 2008 est.
35 	 Uganda 	     65.99 	 2008 est.
36 	 Cameroon 	     64.57 	 2008 est.
37 	 Haiti 	     62.33 	 2008 est.
38 	 Nepal 	     62.00 	 2008 est.
39 	 Burundi 	     60.77 	 2008 est.
40 	 Senegal 	     58.93 	 2008 est.
41 	 Mayotte 	     57.88 	 2008 est.
42 	 Togo 	     57.66 	 2008 est.
43 	 Bangladesh 	     57.45 	 2008 est.
44 	 Cambodia 	     56.59 	 2008 est.
