This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Inflation rate (consumer prices)(%) 	 Date of Information
1 	 Zimbabwe 	    384.70 	 2003 est.
2 	 Angola 	     76.60 	 2003 est.
3 	 Burma 	     49.70 	 2003 est.
4 	 Haiti 	     37.80 	 2003 est.
5 	 Venezuela 	     31.10 	 2003 est.
6 	 Iraq 	     29.30 	 2003 est.
7 	 Belarus 	     28.20 	 2003 est.
8 	 Dominican Republic 	     27.50 	 2003 est.
9 	 Ghana 	     26.70 	 2003 est.
10 	 Turkey 	     25.30 	 2003 est.
11 	 Zambia 	     21.40 	 2003 est.
12 	 Uruguay 	     19.40 	 2003 est.
13 	 Ethiopia 	     17.80 	 2003 est.
14 	 Suriname 	     17.00 	 2002 est.
15 	 Iran 	     16.40 	 2003 est.
16 	 Tajikistan 	     16.30 	 2003 est.
17 	 Laos 	     15.30 	 2003 est.
18 	 Romania 	     15.30 	 2003
19 	 Liberia 	     15.00 	 2003 est.
20 	 Guinea 	     14.80 	 2003 est.
21 	 Brazil 	     14.70 	 2003
22 	 Papua New Guinea 	     14.70 	 2003 est.
23 	 Paraguay 	     14.20 	 2003 est.
24 	 Congo, Democratic Republic of the 	     14.00 	 2003 est.
25 	 Mozambique 	     14.00 	 2003 est.
26 	 Gambia, The 	     14.00 	 2003 est.
27 	 Nigeria 	     13.80 	 2003 est.
28 	 Russia 	     13.70 	 2003 est.
29 	 Argentina 	     13.40 	 2003
30 	 Uzbekistan 	     13.10 	 2003 est.
31 	 Cyprus 	     12.60 	 2003 est.
32 	 Eritrea 	     12.30 	 2003
33 	 Moldova 	     11.60 	 2003 est.
34 	 Serbia and Montenegro 	     11.20 	 2003 est.
35 	 Yemen 	     10.80 	 2003 est.
36 	 Burundi 	     10.70 	 2003 est.
37 	 Jamaica 	     10.30 	 2003 est.
38 	 Tonga 	     10.30 	 2002 est.
39 	 Kenya 	      9.80 	 2003 est.
40 	 Malawi 	      9.50 	 2003 est.
41 	 Turkmenistan 	      9.50 	 2003 est.
