This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Military expenditures - dollar figure 	 Date of Information
121 	 Guinea 	 $         58,500,000 	 2003
122 	 Albania 	 $         56,500,000 	 FY02
123 	 Chad 	 $         55,400,000 	 2003
124 	 Paraguay 	 $         52,700,000 	 2003
125 	 Burkina Faso 	 $         52,700,000 	 2003
126 	 Mali 	 $         51,100,000 	 2003
127 	 Rwanda 	 $         47,700,000 	 2003
128 	 Ghana 	 $         44,000,000 	 2003
129 	 Maldives 	 $         43,100,000 	 2003
130 	 Zambia 	 $         42,600,000 	 2003
131 	 Mauritania 	 $         40,800,000 	 2003
132 	 Burma 	 $         39,000,000 	 
133 	 Tajikistan 	 $         35,400,000 	 FY01
134 	 Fiji 	 $         34,000,000 	 2003
135 	 Burundi 	 $         33,300,000 	 2003
136 	 Malta 	 $         33,300,000 	 2003
137 	 Togo 	 $         32,600,000 	 2003
138 	 Lesotho 	 $         32,500,000 	 2003
139 	 Jamaica 	 $         31,000,000 	 2003
140 	 Nicaragua 	 $         30,800,000 	 2003
141 	 Swaziland 	 $         29,000,000 	 2003
142 	 Djibouti 	 $         26,500,000 	 2003
143 	 Haiti 	 $         25,800,000 	 2003
144 	 Mongolia 	 $         23,100,000 	 FY02
145 	 Georgia 	 $         23,000,000 	 
146 	 Niger 	 $         21,700,000 	 2003
147 	 Tanzania 	 $         20,300,000 	 2003
148 	 Kyrgyzstan 	 $         19,200,000 	 FY01
149 	 Somalia 	 $         18,900,000 	 2003
150 	 Belize 	 $         18,000,000 	 2003
151 	 Papua New Guinea 	 $         16,900,000 	 2003
152 	 Central African Republic 	 $         14,500,000 	 2003
153 	 Cape Verde 	 $         12,300,000 	 2003
154 	 Sierra Leone 	 $         11,700,000 	 2003
155 	 Seychelles 	 $         11,600,000 	 2003
156 	 Malawi 	 $         11,500,000 	 2003
157 	 Bhutan 	 $         11,200,000 	 2003
158 	 Mauritius 	 $         11,200,000 	 2003
159 	 Laos 	 $         10,900,000 	 2003
160 	 Liberia 	 $         10,000,000 	 2003
161 	 Moldova 	 $          9,500,000 	 FY03
162 	 Guinea-Bissau 	 $          8,400,000 	 2003
163 	 Suriname 	 $          7,500,000 	 2003
164 	 Guyana 	 $          6,500,000 	 2003
165 	 Comoros 	 $          6,000,000 	 2003
166 	 East Timor 	 $          4,400,000 	 FY03
167 	 Bermuda 	 $          4,030,000 	 2001
168 	 Gambia, The 	 $           900,000 	 2003
169 	 San Marino 	 $           700,000 	 FY00/01
170 	 Sao Tome and Principe 	 $           500,000 	 2003

 This file was last updated on 10 February, 2005
