This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Highways(km) 	 Date of Information
140 	 Guyana 	            7,970 	 1999 est.
141 	 Mauritania 	            7,720 	 2000
142 	 Togo 	            7,520 	 1999 est.
143 	 Lebanon 	            7,300 	 1999 est.
144 	 Jordan 	            7,245 	 2000
145 	 Benin 	            6,787 	 1999 est.
146 	 Western Sahara 	            6,200 	 1991 est
147 	 Lesotho 	            5,940 	 1999
148 	 Luxembourg 	            5,189 	 2000
149 	 New Caledonia 	            4,825 	 1999
150 	 West Bank 	            4,500 	 1997 est.
151 	 Suriname 	            4,492 	 2000
152 	 Kuwait 	            4,450 	 1999 est.
153 	 Guinea-Bissau 	            4,400 	 1999 est.
154 	 Haiti 	            4,160 	 1999 est.
155 	 Eritrea 	            4,010 	 1999 est.
156 	 East Timor 	            3,800 	 1995
157 	 Bhutan 	            3,690 	 1999 est.
158 	 Fiji 	            3,440 	 1999 est.
159 	 Bahrain 	            3,261 	 2000
160 	 Swaziland 	            3,247 	 1998
161 	 Singapore 	            3,066 	 1999
162 	 Djibouti 	            2,890 	 1999 est.
163 	 Equatorial Guinea 	            2,880 	 1999 est.
164 	 Belize 	            2,872 	 1999 est.
165 	 Reunion 	            2,724 	 1994
166 	 Gambia, The 	            2,700 	 1999
167 	 Bahamas, The 	            2,693 	 1999 est.
168 	 French Polynesia 	            2,590 	 1999
169 	 Brunei 	            2,525 	 2000
170 	 Guadeloupe 	            2,467 	 1998
171 	 Malta 	            2,254 	 2000
172 	 Martinique 	            2,105 	 2000
173 	 Mauritius 	            1,926 	 2000
174 	 Hong Kong 	            1,831 	 1999 est.
175 	 Barbados 	            1,793 	 1999
176 	 Solomon Islands 	            1,360 	 1999 est.
177 	 Qatar 	            1,230 	 1999 est.
178 	 Saint Lucia 	            1,210 	 1999 est.
179 	 Cape Verde 	            1,100 	 1999 est.
180 	 United Arab Emirates 	            1,088 	 1999 est.
181 	 Vanuatu 	            1,070 	 1999 est.
182 	 Grenada 	            1,040 	 1999 est.
183 	 Saint Vincent and the Grenadines 	            1,040 	 1999 est.
184 	 Guam 	             885 	 
185 	 Comoros 	             880 	 1999 est
186 	 Virgin Islands 	             856 	 2000
187 	 Aruba 	             800 	 1995
188 	 Man, Isle of 	             800 	 1999
189 	 Samoa 	             790 	 1999 est.
190 	 Cayman Islands 	             785 	 2000
191 	 Dominica 	             780 	 1999 est.
192 	 French Guiana 	             722 	 1996
193 	 Tonga 	             680 	 1999 est.
194 	 Kiribati 	             670 	 1999 est.
195 	 Netherlands Antilles 	             600 	 
196 	 Jersey 	             577 	 
197 	 Faroe Islands 	             463 	 1999
198 	 Bermuda 	             450 	 2002
199 	 Falkland Islands (Islas Malvinas) 	             440 	 2002
200 	 Seychelles 	             373 	 1997 est.
201 	 Northern Mariana Islands 	             362 	 1991
202 	 American Samoa 	             350 	 
203 	 Cook Islands 	             320 	 2000
204 	 Sao Tome and Principe 	             320 	 1999 est.
205 	 Saint Kitts and Nevis 	             320 	 1999 est
206 	 Macau 	             271 	 2000
207 	 Andorra 	             269 	 1994
208 	 Antigua and Barbuda 	             250 	 1999 est.
209 	 Liechtenstein 	             250 	 
210 	 Micronesia, Federated States of 	             240 	 1999 est.
211 	 Christmas Island 	             240 	 2000
212 	 Niue 	             234 	 2001
213 	 Montserrat 	             227 	 2003
214 	 San Marino 	             220 	 2001
215 	 Saint Helena 	             198 	 2000
216 	 British Virgin Islands 	             177 	 2000
217 	 Turks and Caicos Islands 	             121 	 2000
218 	 Wallis and Futuna 	             120 	 
219 	 Saint Pierre and Miquelon 	             114 	 
220 	 Anguilla 	             105 	 1997
221 	 Mayotte 	              93 	 
222 	 Norfolk Island 	              80 	 2001
223 	 Palau 	              61 	 
224 	 Monaco 	              50 	 1999 est.
225 	 Nauru 	              30 	 1999 est.
226 	 Gibraltar 	              29 	 2002
227 	 Cocos (Keeling) Islands 	              15 	 2003
228 	 Tuvalu 	               8 	 1999 est.
229 	 Pitcairn Islands 	               6 	 

 This file was last updated on 10 February, 2005
