This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Infant mortality rate(deaths/1,000 live births) 	 Date of Information
1 	 Angola 	    191.19 	 2004 est.
2 	 Afghanistan 	    163.07 	 2004 est.
3 	 Sierra Leone 	    143.64 	 2004 est.
4 	 Mozambique 	    130.79 	 2004 est.
5 	 Liberia 	    128.87 	 2004 est.
6 	 Niger 	    121.69 	 2004 est.
7 	 Mali 	    116.79 	 2004 est.
8 	 Somalia 	    116.70 	 2004 est.
9 	 Tajikistan 	    110.76 	 2004 est.
10 	 Guinea-Bissau 	    107.17 	 2004 est.
11 	 Djibouti 	    104.13 	 2004 est.
12 	 Malawi 	    103.32 	 2004 est.
13 	 Bhutan 	    100.44 	 2004 est.
14 	 Nigeria 	     98.80 	 2004 est.
15 	 Tanzania 	     98.54 	 2004 est.
16 	 Burkina Faso 	     97.57 	 2004 est.
17 	 Ethiopia 	     95.32 	 2004 est.
18 	 Congo, Democratic Republic of the 	     94.69 	 2004 est.
19 	 Congo, Republic of the 	     93.86 	 2004 est.
20 	 Chad 	     93.82 	 2004 est.
21 	 Rwanda 	     91.23 	 2004 est.
22 	 Central African Republic 	     91.00 	 2004 est.
23 	 Cote d'Ivoire 	     90.83 	 2004 est.
24 	 Guinea 	     90.37 	 2004 est.
25 	 Zambia 	     88.29 	 2004 est.
26 	 Laos 	     85.22 	 2004 est.
27 	 Equatorial Guinea 	     85.13 	 2004 est.
28 	 Benin 	     85.00 	 2004 est.
29 	 Lesotho 	     84.23 	 2004 est.
30 	 Azerbaijan 	     81.74 	 2004 est.
31 	 Madagascar 	     76.83 	 2004 est.
32 	 Comoros 	     74.93 	 2004 est.
33 	 Eritrea 	     74.87 	 2004 est.
34 	 Haiti 	     73.45 	 2004 est.
35 	 Turkmenistan 	     73.08 	 2004 est.
36 	 Pakistan 	     72.44 	 2004 est.
37 	 Gambia, The 	     72.02 	 2004 est.
38 	 Cambodia 	     71.48 	 2004 est.
39 	 Uzbekistan 	     71.10 	 2004 est.
40 	 Mauritania 	     70.89 	 2004 est.
41 	 Burundi 	     69.29 	 2004 est.
42 	 Swaziland 	     69.27 	 2004 est.
43 	 Cameroon 	     68.26 	 2004 est.
44 	 Uganda 	     67.83 	 2004 est.
45 	 Zimbabwe 	     67.69 	 2004 est.
46 	 Burma 	     67.24 	 2004 est.
47 	 Nepal 	     66.98 	 2004 est.
48 	 Togo 	     66.61 	 2004 est.
49 	 Bangladesh 	     62.60 	 2004 est.
50 	 Sudan 	     62.50 	 2004 est.
51 	 Mayotte 	     62.40 	 2004 est.
52 	 South Africa 	     61.81 	 2004 est.
53 	 Yemen 	     61.50 	 2004 est.
54 	 Kenya 	     61.47 	 2004 est.
55 	 Maldives 	     56.52 	 2004 est.
56 	 India 	     56.29 	 2004 est.
57 	 Senegal 	     55.51 	 2004 est.
58 	 Vanuatu 	     55.16 	 2004 est.
59 	 Botswana 	     54.58 	 2004 est.
60 	 Mongolia 	     53.79 	 2004 est.
61 	 Gabon 	     53.64 	 2004 est.
62 	 Bolivia 	     53.11 	 2004 est.
63 	 Papua New Guinea 	     51.45 	 2004 est.
64 	 Ghana 	     51.43 	 2004 est.
65 	 World 	     51.23 	 2004 est.
66 	 Iraq 	     50.25 	 2004 est.
67 	 Namibia 	     48.98 	 2004 est.
68 	 Kiribati 	     48.52 	 2004 est.
69 	 Cape Verde 	     47.77 	 2004 est.
70 	 East Timor 	     47.41 	 2004 est.
71 	 Sao Tome and Principe 	     43.11 	 2004 est.
72 	 Morocco 	     41.62 	 2004 est.
73 	 Iran 	     41.58 	 2004 est.
74 	 Turkey 	     41.04 	 2004 est.
75 	 Moldova 	     40.42 	 2004 est.
