This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
1 	 World 	        75,810,000 	 2001 est.
2 	 United States 	        19,650,000 	 2001 est.
3 	 European Union 	        14,480,000 	 2001
4 	 Japan 	         5,290,000 	 2001 est.
5 	 China 	         4,570,000 	 2001 est.
6 	 Germany 	         2,813,000 	 2001 est.
7 	 Russia 	         2,595,000 	 2001 est.
8 	 Brazil 	         2,199,000 	 2001 est.
9 	 Korea, South 	         2,140,000 	 2001 est.
10 	 India 	         2,130,000 	 2001 est.
11 	 France 	         2,026,000 	 2001 est.
12 	 Italy 	         1,866,000 	 2001 est.
13 	 United Kingdom 	         1,710,000 	 2001 est.
14 	 Canada 	         1,703,000 	 2001 est.
15 	 Mexico 	         1,507,000 	 2001 est.
16 	 Spain 	         1,497,000 	 2001 est.
17 	 Saudi Arabia 	         1,452,000 	 2001 est.
18 	 Iran 	         1,277,000 	 2001 est.
19 	 Indonesia 	         1,045,000 	 2001 est.
20 	 Taiwan 	          988,000 	 2001 est.
21 	 Netherlands 	          895,300 	 2001 est.
22 	 Australia 	          796,500 	 2001 est.
23 	 Thailand 	          785,000 	 2001 est.
24 	 Singapore 	          700,000 	 2001 est.
25 	 Turkey 	          619,500 	 2001 est.
26 	 Belgium 	          595,100 	 2001 est.
27 	 Egypt 	          562,000 	 2001 est.
28 	 Venezuela 	          505,000 	 2001 est.
29 	 Argentina 	          486,000 	 2001 est.
30 	 Iraq 	          460,000 	 2001 est.
31 	 South Africa 	          460,000 	 2001 est.
32 	 Malaysia 	          460,000 	 2003 est.
33 	 Poland 	          424,100 	 2001 est.
34 	 Greece 	          405,700 	 2001 est.
35 	 Pakistan 	          365,000 	 2001 est.
36 	 Philippines 	          343,000 	 2001 est.
37 	 Portugal 	          339,800 	 2001 est.
38 	 Sweden 	          328,600 	 2001 est.
39 	 United Arab Emirates 	          310,000 	 2001 est.
40 	 Kuwait 	          293,000 	 2003 est.
41 	 Switzerland 	          290,400 	 2001 est.
42 	 Ukraine 	          290,000 	 2001 est.
43 	 Nigeria 	          275,000 	 2001 est.
44 	 Syria 	          265,000 	 2001 est.
45 	 Austria 	          262,400 	 2001 est.
46 	 Israel 	          260,000 	 2001 est.
47 	 Hong Kong 	          257,000 	 2001 est.
48 	 Colombia 	          252,000 	 2001 est.
49 	 Chile 	          241,000 	 2001 est.
50 	 Belarus 	          230,000 	 2001 est.
51 	 Denmark 	          218,000 	 2001 est.
52 	 Libya 	          216,000 	 2001 est.
53 	 Romania 	          215,000 	 2001 est.
54 	 Finland 	          211,400 	 2001 est.
55 	 Algeria 	          209,000 	 2001 est.
56 	 Kazakhstan 	          195,000 	 2001 est.
57 	 Puerto Rico 	          190,000 	 2001 est.
58 	 Vietnam 	          185,000 	 2001 est.
59 	 Czech Republic 	          175,700 	 2001 est.
60 	 Ireland 	          174,400 	 2001 est.
61 	 Norway 	          171,100 	 2001 est.
62 	 Morocco 	          167,000 	 2001 est.
63 	 Cuba 	          163,000 	 2001 est.
64 	 Peru 	          161,000 	 2001 est.
65 	 Uzbekistan 	          142,000 	 2001 est.
66 	 Hungary 	          140,700 	 2001 est.
67 	 Azerbaijan 	          140,000 	 2001 est.
68 	 New Zealand 	          132,700 	 2001 est.
69 	 Dominican Republic 	          129,000 	 2001 est.
70 	 Ecuador 	          129,000 	 2001 est.
