This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
129 	 Dominican Republic 	      7.35 	 2004 est.
130 	 Maldives 	      7.24 	 2004 est.
131 	 Tuvalu 	      7.22 	 2004 est.
132 	 Cuba 	      7.19 	 2004 est.
133 	 Grenada 	      7.17 	 2004 est.
134 	 Montserrat 	      7.17 	 2004 est.
135 	 Suriname 	      7.16 	 2004 est.
136 	 Kyrgyzstan 	      7.13 	 2004 est.
137 	 Liechtenstein 	      7.06 	 2004 est.
138 	 Korea, North 	      7.05 	 2004 est.
139 	 Mongolia 	      7.03 	 2004 est.
140 	 Thailand 	      7.02 	 2004 est.
141 	 China 	      6.94 	 2004 est.
142 	 Honduras 	      6.87 	 2004 est.
143 	 Palau 	      6.85 	 2004 est.
144 	 Mauritius 	      6.83 	 2004 est.
145 	 Nauru 	      6.82 	 2004 est.
146 	 Dominica 	      6.81 	 2004 est.
147 	 Guatemala 	      6.81 	 2004 est.
148 	 Saint Pierre and Miquelon 	      6.70 	 2004 est.
149 	 Iceland 	      6.68 	 2004 est.
150 	 Sao Tome and Principe 	      6.68 	 2004 est.
151 	 Cape Verde 	      6.62 	 2004 est.
152 	 Aruba 	      6.57 	 2004 est.
153 	 Panama 	      6.54 	 2004 est.
154 	 Samoa 	      6.54 	 2004 est.
155 	 Sri Lanka 	      6.49 	 2004 est.
156 	 Martinique 	      6.44 	 2004 est.
157 	 Saint Helena 	      6.43 	 2004 est.
158 	 Netherlands Antilles 	      6.41 	 2004 est.
159 	 Taiwan 	      6.38 	 2004 est.
160 	 Seychelles 	      6.34 	 2004 est.
161 	 East Timor 	      6.30 	 2004 est.
162 	 Korea, South 	      6.26 	 2004 est.
163 	 Peru 	      6.26 	 2004 est.
164 	 Virgin Islands 	      6.26 	 2004 est.
165 	 Indonesia 	      6.25 	 2004 est.
166 	 Lebanon 	      6.24 	 2004 est.
167 	 Vietnam 	      6.20 	 2004 est.
168 	 Israel 	      6.18 	 2004 est.
169 	 Brazil 	      6.15 	 2004 est.
170 	 Andorra 	      6.07 	 2004 est.
171 	 Guadeloupe 	      6.06 	 2004 est.
172 	 Belize 	      6.04 	 2004 est.
173 	 Saint Vincent and the Grenadines 	      6.00 	 2004 est.
174 	 Hong Kong 	      5.98 	 2004 est.
175 	 Turkey 	      5.96 	 2004 est.
176 	 El Salvador 	      5.85 	 2004 est.
177 	 Chile 	      5.76 	 2004 est.
178 	 Fiji 	      5.65 	 2004 est.
179 	 New Caledonia 	      5.65 	 2004 est.
180 	 Morocco 	      5.64 	 2004 est.
181 	 Colombia 	      5.59 	 2004 est.
182 	 Iran 	      5.55 	 2004 est.
183 	 Iraq 	      5.49 	 2004 est.
184 	 Reunion 	      5.48 	 2004 est.
185 	 Philippines 	      5.47 	 2004 est.
186 	 Antigua and Barbuda 	      5.44 	 2004 est.
187 	 Anguilla 	      5.43 	 2004 est.
188 	 Jamaica 	      5.37 	 2004 est.
189 	 Tonga 	      5.35 	 2004 est.
190 	 Egypt 	      5.26 	 2004 est.
