This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP 	 Date of Information
104 	 Tanzania 	 $      21,580,000,000 	 2003 est.
105 	 Mozambique 	 $      21,230,000,000 	 2003 est.
106 	 Bolivia 	 $      21,010,000,000 	 2003 est.
107 	 Angola 	 $      20,420,000,000 	 2003 est.
108 	 Afghanistan 	 $      20,000,000,000 	 2003 est.
109 	 Guinea 	 $      19,020,000,000 	 2003 est.
110 	 Panama 	 $      18,780,000,000 	 2003 est.
111 	 Lebanon 	 $      17,820,000,000 	 2003 est.
112 	 Honduras 	 $      17,550,000,000 	 2003 est.
113 	 Qatar 	 $      17,540,000,000 	 2003 est.
114 	 Estonia 	 $      17,350,000,000 	 2003 est.
115 	 Senegal 	 $      17,090,000,000 	 2003 est.
116 	 Albania 	 $      16,130,000,000 	 2003 est.
117 	 Yemen 	 $      15,090,000,000 	 2003 est.
118 	 Cyprus 	 $      14,820,000,000 	 2003 est.
119 	 Burkina Faso 	 $      14,550,000,000 	 2003 est.
120 	 Botswana 	 $      14,200,000,000 	 2003 est.
121 	 Mauritius 	 $      13,850,000,000 	 2003 est.
122 	 Namibia 	 $      13,850,000,000 	 2003 est.
123 	 Macedonia 	 $      13,810,000,000 	 2003 est.
124 	 Madagascar 	 $      13,020,000,000 	 2003 est.
125 	 Haiti 	 $      12,300,000,000 	 2003 est.
126 	 Georgia 	 $      12,180,000,000 	 2003 est.
127 	 Armenia 	 $      11,790,000,000 	 2003 est.
128 	 Nicaragua 	 $      11,600,000,000 	 2003 est.
129 	 Papua New Guinea 	 $      11,480,000,000 	 2003 est.
130 	 Bahrain 	 $      11,290,000,000 	 2003 est.
131 	 Chad 	 $      10,670,000,000 	 2003 est.
132 	 Jamaica 	 $      10,610,000,000 	 2003 est.
133 	 Mali 	 $      10,530,000,000 	 2003 est.
134 	 Trinidad and Tobago 	 $      10,520,000,000 	 2003 est.
135 	 Laos 	 $      10,320,000,000 	 2003 est.
136 	 Rwanda 	 $      10,110,000,000 	 2003 est.
137 	 Macau 	 $       9,100,000,000 	 2003 est.
138 	 Niger 	 $       9,062,000,000 	 2003 est.
139 	 Iceland 	 $       8,678,000,000 	 2003 est.
140 	 Zambia 	 $       8,596,000,000 	 2003 est.
141 	 Togo 	 $       8,257,000,000 	 2003 est.
142 	 Kyrgyzstan 	 $       7,808,000,000 	 2003 est.
143 	 Moldova 	 $       7,792,000,000 	 2003 est.
144 	 Benin 	 $       7,742,000,000 	 2003 est.
145 	 Gabon 	 $       7,301,000,000 	 2003 est.
146 	 Malta 	 $       7,082,000,000 	 2003 est.
147 	 Malawi 	 $       6,845,000,000 	 2003 est.
148 	 Tajikistan 	 $       6,812,000,000 	 2003 est.
149 	 Brunei 	 $       6,500,000,000 	 2002 est.
150 	 Martinique 	 $       6,117,000,000 	 2003 est.
151 	 Swaziland 	 $       5,702,000,000 	 2003 est.
152 	 Lesotho 	 $       5,583,000,000 	 2003 est.
153 	 Mauritania 	 $       5,195,000,000 	 2003 est.
154 	 Bahamas, The 	 $       5,049,000,000 	 2003 est.
155 	 Fiji 	 $       5,012,000,000 	 2003 est.
156 	 Mongolia 	 $       4,882,000,000 	 2003 est.
157 	 French Polynesia 	 $       4,580,000,000 	 2003 est.
158 	 Somalia 	 $       4,361,000,000 	 2003 est.
159 	 Barbados 	 $       4,355,000,000 	 2003 est.
160 	 Reunion 	 $       4,348,000,000 	 2003 est.
161 	 Central African Republic 	 $       4,183,000,000 	 2003 est.
162 	 Burundi 	 $       3,780,000,000 	 2003 est.
163 	 Guadeloupe 	 $       3,513,000,000 	 2003 est.
164 	 Eritrea 	 $       3,300,000,000 	 2002 est.
165 	 Liberia 	 $       3,261,000,000 	 2003 est.
166 	 Guam 	 $       3,200,000,000 	 2000 est.
167 	 New Caledonia 	 $       3,158,000,000 	 2003 est.
168 	 Sierra Leone 	 $       3,057,000,000 	 2003 est.
169 	 Guyana 	 $       2,797,000,000 	 2003 est.
170 	 Bhutan 	 $       2,700,000,000 	 2002 est.
171 	 Gambia, The 	 $       2,560,000,000 	 2003 est.
172 	 Virgin Islands 	 $       2,500,000,000 	 2002 est.
173 	 Netherlands Antilles 	 $       2,450,000,000 	 2003 est.
174 	 Bermuda 	 $       2,330,000,000 	 2003 est.
175 	 Jersey 	 $       2,200,000,000 	 1999 est.
176 	 Congo, Republic of the 	 $       2,148,000,000 	 2003 est.
