This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
123 	 Lithuania 	         1,603,000 	 2007 est.
124 	 Jordan 	         1,563,000 	 2007 est.
125 	 Lebanon 	         1,500,000 	 2005 est.
126 	 Sierra Leone 	         1,369,000 	 1981 est.
127 	 Panama 	         1,362,000 	 2007 est.
128 	 Moldova 	         1,333,000 	 2007 est.
129 	 Togo 	         1,302,000 	 1998
130 	 Puerto Rico 	         1,300,000 	 2000
131 	 Jamaica 	         1,255,000 	 2007 est.
132 	 Armenia 	         1,200,000 	 2007 est.
133 	 Latvia 	         1,167,000 	 2007 est.
134 	 Albania 	         1,090,000 	 September 2006 est.
135 	 Mongolia 	         1,042,000 	 2006
136 	 Bosnia and Herzegovina 	         1,026,000 	 2001
137 	 Slovenia 	          925,000 	 2007 est.
138 	 Oman 	          920,000 	 2002 est.
139 	 Macedonia 	          890,000 	 2007 est.
140 	 Qatar 	          881,000 	 2007 est.
141 	 Lesotho 	          838,000 	 2000 est.
142 	 Kosovo 	          832,000 	 June 2007 est.
143 	 Mauritania 	          786,000 	 2001
144 	 Estonia 	          687,000 	 2007 est.
145 	 Namibia 	          660,000 	 2007 est.
146 	 Trinidad and Tobago 	          622,000 	 2007 est.
147 	 West Bank 	          605,000 	 2006
148 	 Gabon 	          582,000 	 2007 est.
149 	 Mauritius 	          574,000 	 2007 est.
150 	 Guinea-Bissau 	          480,000 	 1999
151 	 Bahrain 	          437,000 	 2007 est.
152 	 Guyana 	          418,000 	 2001 est.
153 	 Gambia, The 	          400,000 	 1996
154 	 Cyprus 	          393,000 	 2007 est.
155 	 Swaziland 	          300,000 	 2006
156 	 Botswana 	          288,400 	 2004
157 	 Djibouti 	          282,000 	 2000
158 	 Macau 	          275,000 	 2006
159 	 Gaza Strip 	          267,000 	 2006
160 	 Montenegro 	          259,100 	 2004
161 	 Solomon Islands 	          249,200 	 1999
162 	 Luxembourg 	          205,000 	 2007 est.
163 	 Bahamas, The 	          181,900 	 2006
164 	 Iceland 	          181,000 	 2007 est.
165 	 Brunei 	          180,400 	 2006 est.
166 	 Malta 	          166,000 	 2007 est.
167 	 Suriname 	          156,700 	 2004
168 	 Comoros 	          144,500 	 1996 est.
169 	 Barbados 	          128,500 	 2001 est.
170 	 Cape Verde 	          120,600 	 1990
171 	 Fiji 	          117,500 	 2006 est.
172 	 Belize 	          113,000 	 2006 est.
173 	 Maldives 	          101,300 	 2004
174 	 Samoa 	           90,000 	 2000 est.
175 	 Netherlands Antilles 	           83,600 	 2005
176 	 New Caledonia 	           78,990 	 2004
177 	 Vanuatu 	           76,410 	 1999
178 	 Niger 	           70,000 	 1995
179 	 French Polynesia 	           65,930 	 December 2005
180 	 Guam 	           62,050 	 2002 est.
181 	 Jersey 	           53,560 	 June 2006
182 	 Mayotte 	           44,560 	 2002
183 	 Northern Mariana Islands 	           44,470 	 2000
184 	 Monaco 	           44,000 	 2005 est.
185 	 Virgin Islands 	           43,980 	 2004 est.
186 	 Saint Lucia 	           43,800 	 2001 est.
187 	 Andorra 	           42,420 	 2005
188 	 Grenada 	           42,300 	 1996
189 	 Saint Vincent and the Grenadines 	           41,680 	 1991 est.
190 	 Aruba 	           41,500 	 2004 est.
191 	 Isle of Man 	           39,690 	 2001
192 	 Seychelles 	           39,560 	 2006
193 	 Bermuda 	           38,360 	 2004
194 	 Micronesia, Federated States of 	           37,410 	 2000
195 	 Sao Tome and Principe 	           35,050 	 1991
196 	 Tonga 	           33,910 	 2003
197 	 Greenland 	           32,120 	 2004
198 	 Guernsey 	           31,470 	 March 2006
199 	 Antigua and Barbuda 	           30,000 	 1991
200 	 Liechtenstein 	           29,500 	 31 December 2001
201 	 Dominica 	           25,000 	 2000 est.
202 	 Faroe Islands 	           24,250 	 October 2000
203 	 Cayman Islands 	           23,450 	 2004
204 	 San Marino 	           20,470 	 2004
205 	 Saint Kitts and Nevis 	           18,170 	 June 1995
206 	 American Samoa 	           17,630 	 2005
207 	 Marshall Islands 	           14,680 	 2000
208 	 British Virgin Islands 	           12,770 	 2004
209 	 Gibraltar 	           12,690 	 2001
210 	 Western Sahara 	           12,000 	 2005 est.
211 	 Palau 	            9,777 	 2005
212 	 Kiribati 	            7,870 	 2001 est.
213 	 Cook Islands 	            6,820 	 2001
214 	 Anguilla 	            6,049 	 2001
215 	 Turks and Caicos Islands 	            4,848 	 1990 est.
216 	 Montserrat 	            4,521 	 2000 est.
217 	 Tuvalu 	            3,615 	 2004 est.
218 	 Saint Pierre and Miquelon 	            3,450 	 2005
219 	 Wallis and Futuna 	            3,104 	 2003
220 	 Saint Helena 	            2,486 	 1998 est.
221 	 Falkland Islands (Islas Malvinas) 	            1,724 	 1996
222 	 Niue 	             663 	 2001
223 	 Tokelau 	             440 	 2001
224 	 Pitcairn Islands 	              15 	 2004

 This file was last updated on 18 December, 2008
