This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
1 	 World 	   3,198,000,000,000 	 2007 est.
2 	 United States 	    652,900,000,000 	 2007 est.
3 	 Russia 	    610,000,000,000 	 2007 est.
4 	 European Union 	    500,100,000,000 	 2007 est.
5 	 Iran 	    111,800,000,000 	 2007 est.
6 	 Japan 	    100,300,000,000 	 2007 est.
7 	 Germany 	     97,440,000,000 	 2007 est.
8 	 Canada 	     92,900,000,000 	 2007 est.
9 	 United Kingdom 	     91,100,000,000 	 2007 est.
10 	 Ukraine 	     84,900,000,000 	 2007 est.
11 	 Italy 	     84,890,000,000 	 2007 est.
12 	 Saudi Arabia 	     75,900,000,000 	 2007 est.
13 	 China 	     70,510,000,000 	 2007 est.
14 	 Mexico 	     68,290,000,000 	 2007 est.
15 	 Uzbekistan 	     51,180,000,000 	 2007 est.
16 	 Netherlands 	     46,420,000,000 	 2007 est.
17 	 Argentina 	     44,100,000,000 	 2007 est.
18 	 United Arab Emirates 	     43,110,000,000 	 2006 est.
19 	 France 	     42,690,000,000 	 2007 est.
20 	 India 	     41,700,000,000 	 2007 est.
21 	 Turkey 	     36,600,000,000 	 2007 est.
22 	 Thailand 	     35,300,000,000 	 2007 est.
23 	 Korea, South 	     34,830,000,000 	 2007 est.
24 	 Spain 	     34,430,000,000 	 2007 est.
25 	 Malaysia 	     32,900,000,000 	 2007 est.
26 	 Egypt 	     31,800,000,000 	 2007 est.
27 	 Pakistan 	     30,800,000,000 	 2007 est.
28 	 Kazakhstan 	     30,580,000,000 	 2007 est.
29 	 Australia 	     29,400,000,000 	 2007 est.
30 	 Venezuela 	     26,500,000,000 	 2007 est.
31 	 Algeria 	     26,300,000,000 	 2007 est.
32 	 Indonesia 	     23,400,000,000 	 2007 est.
33 	 Belarus 	     21,760,000,000 	 2007 est.
34 	 Trinidad and Tobago 	     20,800,000,000 	 2007 est.
35 	 Qatar 	     20,500,000,000 	 2007 est.
36 	 Brazil 	     19,800,000,000 	 2007 est.
37 	 Turkmenistan 	     19,480,000,000 	 2007 est.
38 	 Belgium 	     17,390,000,000 	 2007 est.
39 	 Romania 	     17,090,000,000 	 2007
