This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Commercial bank prime lending rate(%) 	 Date of Information
149 	 Malta 	            6.24 	 31 December 2007
150 	 Canada 	            6.10 	 31 December 2007
151 	 Libya 	            6.00 	 31 December 2007
152 	 Germany 	            5.96 	 31 December 2007
153 	 Czech Republic 	            5.79 	 31 December 2007
154 	 Finland 	            5.62 	 31 December 2007
155 	 United Kingdom 	            5.52 	 31 December 2007
156 	 Bahamas, The 	            5.50 	 31 December 2007
157 	 Brunei 	            5.50 	 31 December 2007
158 	 Poland 	            5.48 	 31 December 2006
159 	 Singapore 	            5.33 	 31 December 2007
160 	 Sweden 	            4.00 	 31 December 2004
161 	 Switzerland 	            3.15 	 31 December 2007
162 	 Japan 	            1.88 	 31 December 2007

 This file was last updated on 18 December, 2008
