This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Stock of domestic credit 	 Date of Information
101 	 Cote d'Ivoire 	   4,404,000,000.00 	 31 December 2007
102 	 Ghana 	   4,173,000,000.00 	 31 December 2006
103 	 Nicaragua 	   4,133,000,000.00 	 31 December 2007
104 	 Trinidad and Tobago 	   3,721,000,000.00 	 31 December 2007
105 	 Barbados 	   3,533,000,000.00 	 31 December 2007
106 	 Georgia 	   3,374,000,000.00 	 31 December 2007
107 	 Montenegro 	   3,083,000,000.00 	 31 December 2007
108 	 Senegal 	   2,970,000,000.00 	 31 December 2007
109 	 Netherlands Antilles 	   2,927,000,000.00 	 31 December 2007
110 	 Macedonia 	   2,924,000,000.00 	 31 December 2007
111 	 Paraguay 	   2,457,000,000.00 	 31 December 2007
112 	 Brunei 	   2,380,000,000.00 	 31 December 2007
113 	 Tanzania 	   2,250,000,000.00 	 31 December 2007
114 	 Yemen 	   2,224,000,000.00 	 31 December 2007
115 	 Zambia 	   1,968,000,000.00 	 31 December 2007
116 	 Fiji 	   1,948,000,000.00 	 31 December 2007
117 	 Moldova 	   1,896,000,000.00 	 31 December 2007
118 	 Eritrea 	   1,711,000,000.00 	 31 December 2007
119 	 Haiti 	   1,537,000,000.00 	 31 December 2007
120 	 Papua New Guinea 	   1,486,000,000.00 	 31 December 2007
121 	 Gaza Strip 	   1,455,000,000.00 	 31 December 2007
122 	 West Bank 	   1,455,000,000.00 	 31 December 2007
123 	 Angola 	   1,385,000,000.00 	 31 December 2007
124 	 Aruba 	   1,348,000,000.00 	 31 December 2007
125 	 Cameroon 	   1,300,000,000.00 	 31 December 2007
126 	 Armenia 	   1,256,000,000.00 	 31 December 2007
127 	 Saint Lucia 	   1,217,000,000.00 	 31 December 2007
128 	 Mongolia 	   1,191,000,000.00 	 31 December 2007
129 	 Liberia 	   1,157,000,000.00 	 31 December 2007
130 	 Cambodia 	   1,131,000,000.00 	 31 December 2007
131 	 Mali 	   1,099,000,000.00 	 31 December 2007
132 	 Maldives 	   1,080,000,000.00 	 31 December 2007
133 	 Cape Verde 	   1,049,000,000.00 	 31 December 2007
134 	 Antigua and Barbuda 	   1,002,000,000.00 	 31 December 2007
135 	 Uganda 	    907,300,000.00 	 31 December 2007
136 	 Burkina Faso 	    905,100,000.00 	 31 December 2007
137 	 Belize 	    877,600,000.00 	 31 December 2007
138 	 Mozambique 	    877,200,000.00 	 31 December 2007
139 	 Saint Kitts and Nevis 	    782,400,000.00 	 31 December 2007
140 	 Madagascar 	    767,500,000.00 	 31 December 2007
141 	 Guyana 	    739,300,000.00 	 31 December 2007
142 	 Seychelles 	    660,200,000.00 	 31 December 2007
143 	 Suriname 	    651,000,000.00 	 31 December 2007
144 	 Togo 	    590,700,000.00 	 31 December 2007
145 	 Grenada 	    575,800,000.00 	 31 December 2007
146 	 Congo, Democratic Republic of the 	    559,500,000.00 	 31 December 2007
147 	 Kyrgyzstan 	    558,300,000.00 	 31 December 2007
148 	 Benin 	    520,600,000.00 	 31 December 2007
149 	 Anguilla 	    447,700,000.00 	 31 December 2007
150 	 Guinea 	    422,100,000.00 	 31 December 2005
151 	 Tajikistan 	    417,400,000.00 	 31 December 2006
152 	 Malawi 	    406,200,000.00 	 31 December 2007
153 	 Saint Vincent and the Grenadines 	    387,800,000.00 	 31 December 2007
154 	 Gabon 	    359,800,000.00 	 31 December 2007
155 	 Burundi 	    342,000,000.00 	 31 December 2007
156 	 Central African Republic 	    320,200,000.00 	 31 December 2007
157 	 Niger 	    318,900,000.00 	 31 December 2007
158 	 Laos 	    285,800,000.00 	 31 December 2007
159 	 Vanuatu 	    229,500,000.00 	 31 December 2007
160 	 Djibouti 	    224,700,000.00 	 31 December 2007
161 	 Samoa 	    215,100,000.00 	 31 December 2007
162 	 Rwanda 	    209,200,000.00 	 31 December 2005
