This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Stock of money 	 Date of Information
101 	 West Bank 	   1,574,000,000.00 	 31 December 2007
102 	 Honduras 	   1,573,000,000.00 	 31 December 2007
103 	 Gabon 	   1,547,000,000.00 	 31 December 2007
104 	 Armenia 	   1,507,000,000.00 	 31 December 2007
105 	 Barbados 	   1,478,000,000.00 	 31 December 2007
106 	 Afghanistan 	   1,426,000,000.00 	 31 December 2007
107 	 Congo, Republic of the 	   1,400,000,000.00 	 31 December 2007
108 	 Jamaica 	   1,369,000,000.00 	 31 December 2007
109 	 Uganda 	   1,363,000,000.00 	 31 December 2007
110 	 San Marino 	   1,326,000,000.00 	 31 December 2007
111 	 Benin 	   1,324,000,000.00 	 31 December 2007
112 	 Bahamas, The 	   1,274,000,000.00 	 31 December 2007
113 	 Mozambique 	   1,261,000,000.00 	 31 December 2007
114 	 Macedonia 	   1,173,000,000.00 	 31 December 2007
115 	 Montenegro 	   1,172,000,000.00 	 31 December 2007
116 	 Madagascar 	   1,161,000,000.00 	 31 December 2007
117 	 Macau 	   1,160,000,000.00 	 31 December 2007
118 	 Georgia 	   1,154,000,000.00 	 31 December 2007
119 	 Netherlands Antilles 	   1,133,000,000.00 	 31 December 2007
120 	 Burkina Faso 	   1,051,000,000.00 	 31 December 2007
121 	 Fiji 	   1,042,000,000.00 	 31 December 2007
122 	 Botswana 	   1,026,000,000.00 	 31 December 2007
123 	 Zambia 	    995,800,000.00 	 31 December 2007
124 	 Moldova 	    965,000,000.00 	 31 December 2007
125 	 Kyrgyzstan 	    911,100,000.00 	 31 December 2007
126 	 Chad 	    874,500,000.00 	 31 December 2007
127 	 Equatorial Guinea 	    835,200,000.00 	 31 December 2007
128 	 Eritrea 	    749,100,000.00 	 31 December 2007
129 	 Haiti 	    704,700,000.00 	 31 December 2007
130 	 Aruba 	    640,900,000.00 	 31 December 2007
131 	 Togo 	    624,900,000.00 	 31 December 2007
132 	 Niger 	    604,500,000.00 	 31 December 2007
133 	 Congo, Democratic Republic of the 	    597,000,000.00 	 31 December 2007
134 	 Cape Verde 	    574,000,000.00 	 31 December 2007
135 	 Cambodia 	    513,600,000.00 	 31 December 2007
136 	 Mongolia 	    504,700,000.00 	 31 December 2007
137 	 Nicaragua 	    465,100,000.00 	 31 December 2007
138 	 Lesotho 	    439,200,000.00 	 31 December 2007
139 	 Suriname 	    416,600,000.00 	 31 December 2007
140 	 Bhutan 	    381,100,000.00 	 31 December 2007
141 	 Djibouti 	    380,000,000.00 	 31 December 2007
142 	 Malawi 	    361,500,000.00 	 31 December 2007
143 	 Maldives 	    344,100,000.00 	 31 December 2007
144 	 Seychelles 	    330,800,000.00 	 31 December 2007
145 	 Laos 	    327,900,000.00 	 31 December 2007
146 	 Belize 	    323,900,000.00 	 31 December 2007
147 	 Guyana 	    315,200,000.00 	 31 December 2007
148 	 Guinea 	    309,800,000.00 	 31 December 2005
149 	 Antigua and Barbuda 	    294,800,000.00 	 31 December 2007
150 	 Saint Lucia 	    264,700,000.00 	 31 December 2007
151 	 Swaziland 	    244,800,000.00 	 31 December 2007
152 	 Rwanda 	    233,600,000.00 	 31 December 2005
153 	 Central African Republic 	    218,300,000.00 	 31 December 2007
154 	 Burundi 	    208,700,000.00 	 31 December 2007
155 	 Gambia, The 	    186,700,000.00 	 31 December 2007
156 	 Sierra Leone 	    184,600,000.00 	 31 December 2007
157 	 Saint Vincent and the Grenadines 	    155,500,000.00 	 31 December 2007
158 	 Grenada 	    151,200,000.00 	 31 December 2007
159 	 Liberia 	    145,600,000.00 	 31 December 2007
160 	 Guinea-Bissau 	    142,500,000.00 	 31 December 2007
161 	 Solomon Islands 	    118,300,000.00 	 31 December 2007
162 	 Vanuatu 	    107,100,000.00 	 31 December 2007
163 	 Saint Kitts and Nevis 	     97,310,000.00 	 31 December 2007
164 	 Tajikistan 	     91,590,000.00 	 31 December 2006
165 	 Comoros 	     76,680,000.00 	 31 December 2007
166 	 Timor-Leste 	     74,940,000.00 	 31 December 2007
167 	 Dominica 	     73,710,000.00 	 31 December 2007
168 	 Samoa 	     69,970,000.00 	 31 December 2007
169 	 Tonga 	     46,380,000.00 	 31 December 2007
170 	 Anguilla 	     23,570,000.00 	 31 December 2007
171 	 Micronesia, Federated States of 	     22,450,000.00 	 31 December 2007
172 	 Sao Tome and Principe 	     19,990,000.00 	 31 December 2007
173 	 Montserrat 	     17,900,000.00 	 31 December 2007

 This file was last updated on 18 December, 2008
