This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
145 	 Maldives 	            1,600 	 2008
146 	 Bangladesh 	            1,440 	 2008
147 	 Sao Tome and Principe 	            1,355 	 2008
148 	 Jamaica 	            1,292 	 2008
149 	 Cambodia 	            1,230 	 2008
150 	 Tajikistan 	            1,158 	 2008
151 	 Uganda 	            1,090 	 2008
152 	 Eritrea 	            1,074 	 2008
153 	 Nigeria 	            1,048 	 2008
154 	 Laos 	            1,015 	 2008
155 	 Vanuatu 	             990 	 2008
156 	 Micronesia, Federated States of 	             866 	 2008
157 	 Benin 	             848 	 2008
158 	 Togo 	             769 	 2008
159 	 Turkmenistan 	             640 	 2008
160 	 Qatar 	             563 	 2008
161 	 Algeria 	             477 	 2008
162 	 British Virgin Islands 	             465 	 2008
163 	 Isle of Man 	             426 	 2008
164 	 Montserrat 	             409 	 2008
165 	 Puerto Rico 	             404 	 2008
166 	 Mali 	             387 	 2008
167 	 Tunisia 	             376 	 2008
168 	 Mongolia 	             356 	 2008
169 	 Gambia, The 	             320 	 2008
170 	 Saint Helena 	             306 	 2008
171 	 Timor-Leste 	             285 	 2008
172 	 Seychelles 	             284 	 2008
173 	 Tokelau 	             273 	 2008
174 	 Macau 	             263 	 2008
175 	 Senegal 	             217 	 2008
176 	 Niger 	             216 	 2008
177 	 Anguilla 	             205 	 2008
178 	 South Georgia and the South Sandwich Islands 	             196 	 2008
179 	 Jersey 	             190 	 2008
180 	 Yemen 	             167 	 2008
181 	 Burundi 	             162 	 2008
182 	 Djibouti 	             161 	 2008
183 	 Guernsey 	             156 	 2008
184 	 Ethiopia 	             128 	 2008
185 	 Saint Vincent and the Grenadines 	             124 	 2008
186 	 Burkina Faso 	             116 	 2008
187 	 Burma 	             108 	 2008
188 	 Malawi 	             107 	 2008
189 	 Barbados 	             104 	 2008
190 	 Falkland Islands (Islas Malvinas) 	              91 	 2008
191 	 British Indian Ocean Territory 	              89 	 2008
192 	 Gabon 	              88 	 2008
193 	 Lesotho 	              83 	 2008
194 	 Guinea-Bissau 	              82 	 2008
195 	 Cameroon 	              69 	 2008
196 	 Holy See (Vatican City) 	              55 	 2008
197 	 Norfolk Island 	              51 	 2008
198 	 Saint Kitts and Nevis 	              45 	 2008
199 	 Nauru 	              42 	 2008
200 	 Bahamas, The 	              41 	 2008
201 	 French Southern and Antarctic Lands 	              38 	 2008
202 	 Guam 	              36 	 2008
203 	 Mauritania 	              34 	 2008
204 	 Suriname 	              33 	 2008
205 	 Sudan 	              33 	 2008
206 	 Afghanistan 	              31 	 2008
207 	 Libya 	              31 	 2008
208 	 Dominica 	              29 	 2008
209 	 Central African Republic 	              21 	 2008
210 	 Cape Verde 	              20 	 2008
211 	 Saint Lucia 	              17 	 2008
212 	 Guinea 	              16 	 2008
213 	 Pitcairn Islands 	              12 	 2008
214 	 Equatorial Guinea 	               9 	 2008
215 	 Kiribati 	               9 	 2008
216 	 Grenada 	               9 	 2008
217 	 Comoros 	               8 	 2008
218 	 Sierra Leone 	               8 	 2008
219 	 Haiti 	               7 	 2008
220 	 Liberia 	               7 	 2008
221 	 Bouvet Island 	               6 	 2008
222 	 Northern Mariana Islands 	               6 	 2008
223 	 Chad 	               5 	 2008
224 	 Congo, Republic of the 	               5 	 2008
225 	 Iraq 	               3 	 2008
226 	 Marshall Islands 	               3 	 2008
227 	 Mayotte 	               1 	 2008
228 	 Wallis and Futuna 	               1 	 2008
229 	 Somalia 	               1 	 2008
230 	 Palau 	               0 	 2008
231 	 Saint Pierre and Miquelon 	               0 	 2008

 This file was last updated on 18 December, 2008
