This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Airports 	 Date of Information
165 	 Burundi 	               8 	 2007
166 	 Cape Verde 	               8 	 2007
167 	 Singapore 	               8 	 2007
168 	 Turks and Caicos Islands 	               8 	 2007
169 	 Timor-Leste 	               8 	 2007
170 	 Kuwait 	               7 	 2007
171 	 Lebanon 	               7 	 2007
172 	 Falkland Islands (Islas Malvinas) 	               6 	 2007
173 	 Saint Vincent and the Grenadines 	               6 	 2007
174 	 Tonga 	               6 	 2007
175 	 Trinidad and Tobago 	               6 	 2007
176 	 Micronesia, Federated States of 	               6 	 2007
177 	 Benin 	               5 	 2007
178 	 Equatorial Guinea 	               5 	 2007
179 	 Northern Mariana Islands 	               5 	 2007
180 	 Mauritius 	               5 	 2007
181 	 Netherlands Antilles 	               5 	 2007
182 	 Qatar 	               5 	 2007
183 	 Maldives 	               5 	 2007
184 	 Montenegro 	               5 	 2007
185 	 Guam 	               5 	 2007
186 	 Comoros 	               4 	 2007
187 	 French Southern and Antarctic Lands 	               4 	 2006
188 	 Samoa 	               4 	 2007
189 	 Svalbard 	               4 	 2007
190 	 Antigua and Barbuda 	               3 	 2007
191 	 West Bank 	               3 	 2007
192 	 British Virgin Islands 	               3 	 2007
193 	 Palau 	               3 	 2007
194 	 Spratly Islands 	               3 	 2007
195 	 Grenada 	               3 	 2007
196 	 Bahrain 	               3 	 2007
197 	 Anguilla 	               3 	 2007
198 	 American Samoa 	               3 	 2007
199 	 Cayman Islands 	               3 	 2007
200 	 Bhutan 	               2 	 2007
201 	 Luxembourg 	               2 	 2007
202 	 Wallis and Futuna 	               2 	 2007
203 	 Virgin Islands 	               2 	 2007
204 	 Sao Tome and Principe 	               2 	 2007
205 	 Saint Lucia 	               2 	 2007
206 	 Saint Kitts and Nevis 	               2 	 2007
207 	 Saint Pierre and Miquelon 	               2 	 2007
208 	 Montserrat 	               2 	 2007
209 	 Hong Kong 	               2 	 2007
210 	 Brunei 	               2 	 2007
211 	 Dominica 	               2 	 2007
212 	 Gaza Strip 	               2 	 2007
213 	 Guernsey 	               2 	 2007
214 	 Aruba 	               1 	 2007
215 	 Barbados 	               1 	 2007
216 	 Wake Island 	               1 	 2007
217 	 Tuvalu 	               1 	 2007
218 	 Saint Barthelemy 	               1 	 
219 	 Saint Helena 	               1 	 2007
220 	 Saint Martin 	               1 	 
221 	 Paracel Islands 	               1 	 2007
222 	 Nauru 	               1 	 2007
223 	 Norfolk Island 	               1 	 2007
224 	 Niue 	               1 	 2007
225 	 Malta 	               1 	 2007
226 	 Mayotte 	               1 	 2007
227 	 Macau 	               1 	 2007
228 	 Christmas Island 	               1 	 2007
229 	 Jan Mayen 	               1 	 2007
230 	 Jersey 	               1 	 2007
231 	 British Indian Ocean Territory 	               1 	 2007
232 	 Isle of Man 	               1 	 2007
233 	 Gibraltar 	               1 	 2007
234 	 Gambia, The 	               1 	 2007
235 	 Faroe Islands 	               1 	 2007
236 	 Cocos (Keeling) Islands 	               1 	 2007
237 	 Bermuda 	               1 	 2007

 This file was last updated on 18 December, 2008
