This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
95 	 Estonia 	 $       3,270,000,000 	 31 December 2007 est.
96 	 Cameroon 	 $       2,932,000,000 	 31 December 2007 est.
97 	 Tanzania 	 $       2,910,000,000 	 31 December 2007 est.
98 	 Dominican Republic 	 $       2,562,000,000 	 31 December 2007 est.
99 	 Uganda 	 $       2,560,000,000 	 31 December 2007 est.
100 	 Honduras 	 $       2,546,000,000 	 31 December 2007 est.
101 	 Cote d'Ivoire 	 $       2,519,000,000 	 31 December 2007 est.
102 	 Paraguay 	 $       2,463,000,000 	 31 December 2007
103 	 Iceland 	 $       2,436,000,000 	 31 December 2007 est.
104 	 Macedonia 	 $       2,265,000,000 	 31 December 2007
105 	 Burma 	 $       2,262,000,000 	 31 December 2007 est.
106 	 Congo, Republic of the 	 $       2,206,000,000 	 31 December 2007 est.
107 	 Ghana 	 $       2,204,000,000 	 31 December 2007 est.
108 	 El Salvador 	 $       2,199,000,000 	 31 December 2007 est.
109 	 Albania 	 $       2,162,000,000 	 31 December 2007 est.
110 	 Cambodia 	 $       2,143,000,000 	 31 December 2007 est.
111 	 Papua New Guinea 	 $       2,087,000,000 	 31 December 2007 est.
112 	 Panama 	 $       1,935,000,000 	 31 December 2007 est.
113 	 Jamaica 	 $       1,905,000,000 	 31 December 2007 est.
114 	 Mauritius 	 $       1,822,000,000 	 31 December 2007 est.
115 	 Senegal 	 $       1,660,000,000 	 31 December 2007 est.
116 	 Armenia 	 $       1,657,000,000 	 December 2007 est.
117 	 Mozambique 	 $       1,445,000,000 	 31 December 2007 est.
118 	 Sudan 	 $       1,378,000,000 	 31 December 2007 est.
119 	 Georgia 	 $       1,361,000,000 	 31 December 2007 est.
120 	 Moldova 	 $       1,334,000,000 	 31 December 2007 est.
121 	 Ethiopia 	 $       1,294,000,000 	 31 December 2007 est.
