This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Roadways(km) 	 Date of Information
150 	 Lebanon 	            6,970 	 2005
151 	 Timor-Leste 	            6,040 	 2005
152 	 Kuwait 	            5,749 	 2004
153 	 New Caledonia 	            5,622 	 2006
154 	 Luxembourg 	            5,227 	 2004
155 	 West Bank 	            5,147 	 2006
156 	 Suriname 	            4,304 	 2003
157 	 Haiti 	            4,160 	 2000
158 	 United Arab Emirates 	            4,080 	 2008
159 	 Eritrea 	            4,010 	 2000
160 	 Gambia, The 	            3,742 	 2004
161 	 Brunei 	            3,650 	 2005
162 	 Swaziland 	            3,594 	 2002
163 	 Bahrain 	            3,498 	 2003
164 	 Guinea-Bissau 	            3,455 	 2002
165 	 Fiji 	            3,440 	 2000
166 	 Singapore 	            3,262 	 2006
167 	 Djibouti 	            3,065 	 2000
168 	 Belize 	            3,007 	 2006
169 	 Equatorial Guinea 	            2,880 	 2000
170 	 Bahamas, The 	            2,717 	 2002
171 	 French Polynesia 	            2,590 	 1999
172 	 Samoa 	            2,337 	 2001
173 	 Malta 	            2,227 	 2005
174 	 Mauritius 	            2,028 	 2007
175 	 Marshall Islands 	            2,028 	 2007
176 	 Hong Kong 	            2,009 	 2007
177 	 Kosovo 	            1,924 	 2006
178 	 Barbados 	            1,600 	 2004
179 	 Solomon Islands 	            1,360 	 2002
180 	 Cape Verde 	            1,350 	 2000
181 	 Virgin Islands 	            1,257 	 2007
182 	 Saint Lucia 	            1,210 	 2002
183 	 Antigua and Barbuda 	            1,165 	 2002
184 	 Grenada 	            1,127 	 2000
185 	 Vanuatu 	            1,070 	 1999
186 	 Guam 	            1,045 	 2007
187 	 Comoros 	             880 	 2002
188 	 Saint Vincent and the Grenadines 	             829 	 2003
189 	 Cayman Islands 	             785 	 2007
190 	 Dominica 	             780 	 2000
191 	 Tonga 	             680 	 2000
192 	 Kiribati 	             670 	 2000
193 	 Northern Mariana Islands 	             536 	 2007
194 	 Isle of Man 	             500 	 2008
195 	 Faroe Islands 	             463 	 2006
196 	 Seychelles 	             458 	 2003
197 	 Bermuda 	             447 	 2007
198 	 Falkland Islands (Islas Malvinas) 	             440 	 2008
199 	 Macau 	             384 	 2006
200 	 Liechtenstein 	             380 	 2007
201 	 Jersey 	             358 	 2002
202 	 Cook Islands 	             320 	 2003
203 	 Saint Kitts and Nevis 	             320 	 2002
204 	 Sao Tome and Principe 	             320 	 2000
205 	 San Marino 	             292 	 2006
206 	 Andorra 	             270 	 
207 	 Micronesia, Federated States of 	             240 	 2000
208 	 American Samoa 	             221 	 2007
209 	 British Virgin Islands 	             200 	 2007
210 	 Saint Helena 	             198 	 2002
211 	 Anguilla 	             175 	 2004
212 	 Christmas Island 	             140 	 2007
213 	 Turks and Caicos Islands 	             121 	 2003
214 	 Niue 	             120 	 2008
215 	 Saint Pierre and Miquelon 	             117 	 2000
216 	 Maldives 	              88 	 2006
217 	 Norfolk Island 	              80 	 2008
218 	 Monaco 	              50 	 2007
219 	 Gibraltar 	              29 	 2007
220 	 Nauru 	              24 	 2002
221 	 Cocos (Keeling) Islands 	              22 	 2006
222 	 Tuvalu 	               8 	 2002

 This file was last updated on 18 December, 2008
