This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Industrial production growth rate(%) 	 Date of Information
131 	 Syria 	            2.50 	 2007 est.
132 	 Dominican Republic 	            2.40 	 2007 est.
133 	 West Bank 	            2.40 	 2005
134 	 Gaza Strip 	            2.40 	 2005
135 	 Portugal 	            2.30 	 2007 est.
136 	 Greece 	            2.20 	 2007 est.
137 	 Nepal 	            2.20 	 FY05/06
138 	 Chad 	            2.00 	 2007 est.
139 	 Mauritania 	            2.00 	 2000 est.
140 	 Eritrea 	            2.00 	 2007 est.
141 	 Brunei 	            1.80 	 2005 est.
142 	 France 	            1.80 	 2007 est.
143 	 Serbia 	            1.80 	 2007 est.
144 	 Kuwait 	            1.70 	 2007 est.
145 	 Luxembourg 	            1.70 	 2007 est.
146 	 Macedonia 	            1.70 	 2007 est.
147 	 New Zealand 	            1.50 	 2007 est.
148 	 Ecuador 	            1.40 	 2007 est.
149 	 Mexico 	            1.40 	 2007 est.
150 	 Japan 	            1.30 	 2007 est.
151 	 Jamaica 	            1.20 	 2007 est.
152 	 Bolivia 	            1.10 	 2007 est.
153 	 Swaziland 	            1.10 	 2007 est.
154 	 Cook Islands 	            1.00 	 2002
155 	 Moldova 	            1.00 	 2007 est.
156 	 Tonga 	            1.00 	 2003 est.
157 	 Togo 	            1.00 	 2007 est.
158 	 Vanuatu 	            1.00 	 1997 est.
159 	 Grenada 	            0.70 	 1997 est.
160 	 Kiribati 	            0.70 	 1991 est.
161 	 Italy 	            0.60 	 2007 est.
162 	 Belize 	            0.50 	 2007 est.
163 	 United Kingdom 	            0.50 	 2007 est.
164 	 Denmark 	            0.50 	 2007 est.
165 	 Canada 	            0.30 	 2007 est.
166 	 Norway 	            0.10 	 2007 est.
167 	 New Caledonia 	           -0.60 	 1996
168 	 Hong Kong 	           -0.80 	 2007 est.
169 	 Maldives 	           -0.90 	 2004 est.
170 	 Saint Vincent and the Grenadines 	           -0.90 	 1997 est.
171 	 Paraguay 	           -1.00 	 2007 est.
172 	 United States 	           -1.70 	 2007 est.
173 	 Cote d'Ivoire 	           -1.80 	 2007 est.
