This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
105 	 Papua New Guinea 	 $       4,686,000,000 	 2007 est.
106 	 Zambia 	 $       4,594,000,000 	 2007 est.
107 	 Bolivia 	 $       4,490,000,000 	 2007 est.
108 	 Bosnia and Herzegovina 	 $       4,243,000,000 	 2007 est.
109 	 Virgin Islands 	 $       4,234,000,000 	 2001
110 	 Chad 	 $       4,201,000,000 	 2007 est.
111 	 Ghana 	 $       4,162,000,000 	 2007 est.
112 	 Kenya 	 $       4,127,000,000 	 2007 est.
113 	 Cambodia 	 $       4,089,000,000 	 2007 est.
114 	 Lebanon 	 $       4,077,000,000 	 2007 est.
115 	 El Salvador 	 $       4,035,000,000 	 2007 est.
116 	 Cameroon 	 $       3,827,000,000 	 2007 est.
117 	 Cuba 	 $       3,734,000,000 	 2007 est.
118 	 Netherlands Antilles 	 $       3,710,000,000 	 2006
119 	 Macedonia 	 $       3,350,000,000 	 2007 est.
120 	 Malta 	 $       3,238,000,000 	 2007 est.
121 	 Namibia 	 $       2,919,000,000 	 2007 est.
122 	 Macau 	 $       2,557,000,000 	 2006
123 	 Liechtenstein 	 $       2,470,000,000 	 1996
124 	 Mozambique 	 $       2,412,000,000 	 2007 est.
125 	 Jamaica 	 $       2,331,000,000 	 2007 est.
126 	 Nicaragua 	 $       2,313,000,000 	 2007 est.
127 	 Mauritius 	 $       2,231,000,000 	 2007 est.
128 	 Tanzania 	 $       2,227,000,000 	 2007 est.
129 	 Georgia 	 $       2,104,000,000 	 2007 est.
130 	 Swaziland 	 $       1,926,000,000 	 2007 est.
131 	 Mongolia 	 $       1,889,000,000 	 2007
132 	 Uganda 	 $       1,686,000,000 	 2007 est.
133 	 Senegal 	 $       1,650,000,000 	 2007 est.
134 	 Tajikistan 	 $       1,606,000,000 	 2007 est.
135 	 Congo, Democratic Republic of the 	 $       1,587,000,000 	 2006
136 	 Zimbabwe 	 $       1,520,000,000 	 2007 est.
137 	 Cyprus 	 $       1,495,000,000 	 2007 est.
138 	 Korea, North 	 $       1,466,000,000 	 2006
139 	 Mauritania 	 $       1,395,000,000 	 2006
140 	 Suriname 	 $       1,391,000,000 	 2006 est.
141 	 Moldova 	 $       1,361,000,000 	 2007 est.
142 	 New Caledonia 	 $       1,341,000,000 	 2006
