This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
1 	 Swaziland 	     30.70 	 2008 est.
2 	 Angola 	     24.44 	 2008 est.
3 	 Lesotho 	     22.33 	 2008 est.
4 	 Sierra Leone 	     22.26 	 2008 est.
5 	 Liberia 	     21.45 	 2008 est.
6 	 Zambia 	     21.35 	 2008 est.
7 	 Mozambique 	     20.29 	 2008 est.
8 	 Niger 	     20.26 	 2008 est.
9 	 Afghanistan 	     19.56 	 2008 est.
10 	 Djibouti 	     19.16 	 2008 est.
11 	 Central African Republic 	     18.04 	 2008 est.
12 	 Malawi 	     17.89 	 2008 est.
13 	 Zimbabwe 	     17.29 	 2008 est.
14 	 South Africa 	     16.94 	 2008 est.
15 	 Nigeria 	     16.88 	 2008 est.
16 	 Chad 	     16.39 	 2008 est.
17 	 Mali 	     16.16 	 2008 est.
18 	 Russia 	     16.06 	 2008 est.
19 	 Guinea-Bissau 	     16.05 	 2008 est.
20 	 Ukraine 	     15.93 	 2008 est.
21 	 Somalia 	     15.89 	 2008 est.
22 	 Rwanda 	     14.46 	 2008 est.
23 	 Bulgaria 	     14.30 	 2008 est.
24 	 Namibia 	     14.07 	 2008 est.
25 	 Botswana 	     14.02 	 2008 est.
26 	 Belarus 	     13.92 	 2008 est.
27 	 Sudan 	     13.64 	 2008 est.
28 	 Latvia 	     13.63 	 2008 est.
29 	 Burkina Faso 	     13.59 	 2008 est.
30 	 Estonia 	     13.35 	 2008 est.
31 	 Hungary 	     12.99 	 2008 est.
32 	 Monaco 	     12.96 	 2008 est.
33 	 Tanzania 	     12.92 	 2008 est.
34 	 Burundi 	     12.91 	 2008 est.
35 	 Gabon 	     12.59 	 2008 est.
36 	 Cameroon 	     12.41 	 2008 est.
37 	 Uganda 	     12.32 	 2008 est.
38 	 Congo, Republic of the 	     12.28 	 2008 est.
39 	 Congo, Democratic Republic of the 	     11.88 	 2008 est.
40 	 Romania 	     11.84 	 2008 est.
41 	 Ethiopia 	     11.83 	 2008 est.
42 	 Gambia, The 	     11.74 	 2008 est.
43 	 Western Sahara 	     11.74 	 2008 est.
44 	 Croatia 	     11.66 	 2008 est.
45 	 Mauritania 	     11.61 	 2008 est.
46 	 Guinea 	     11.29 	 2008 est.
47 	 Cote d'Ivoire 	     11.17 	 2008 est.
48 	 Lithuania 	     11.12 	 2008 est.
49 	 Isle of Man 	     11.02 	 2008 est.
50 	 Laos 	     11.02 	 2008 est.
51 	 Trinidad and Tobago 	     10.93 	 2008 est.
52 	 Germany 	     10.80 	 2008 est.
53 	 Moldova 	     10.80 	 2008 est.
54 	 Senegal 	     10.72 	 2008 est.
55 	 Czech Republic 	     10.69 	 2008 est.
56 	 Portugal 	     10.62 	 2008 est.
57 	 Italy 	     10.61 	 2008 est.
