This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Imports 	 Date of Information
1 	 World 	 $   13,740,000,000,000 	 2006 est.
2 	 United States 	 $    1,968,000,000,000 	 2007 est.
3 	 European Union 	 $    1,466,000,000,000 	 2005
4 	 Germany 	 $    1,075,000,000,000 	 2007 est.
5 	 China 	 $     904,600,000,000 	 2007 est.
6 	 United Kingdom 	 $     621,400,000,000 	 2007 est.
7 	 France 	 $     600,900,000,000 	 2007 est.
8 	 Japan 	 $     573,300,000,000 	 2007 est.
9 	 Italy 	 $     498,100,000,000 	 2007 est.
10 	 Netherlands 	 $     406,300,000,000 	 2007 est.
11 	 Canada 	 $     386,400,000,000 	 2007 est.
12 	 Spain 	 $     380,200,000,000 	 2007 est.
13 	 Hong Kong 	 $     365,600,000,000 	 2007 est.
14 	 Korea, South 	 $     349,600,000,000 	 2007 est.
15 	 Belgium 	 $     323,200,000,000 	 2007 est.
16 	 Mexico 	 $     281,900,000,000 	 2007 est.
17 	 Singapore 	 $     252,000,000,000 	 2007 est.
18 	 India 	 $     230,500,000,000 	 2007 est.
19 	 Russia 	 $     223,400,000,000 	 2007 est.
20 	 Taiwan 	 $     215,100,000,000 	 2007 est.
21 	 Switzerland 	 $     187,100,000,000 	 2007 est.
22 	 Turkey 	 $     162,000,000,000 	 2007 est.
23 	 Austria 	 $     160,300,000,000 	 2007 est.
24 	 Poland 	 $     160,200,000,000 	 2007 est.
25 	 Australia 	 $     160,000,000,000 	 2007 est.
26 	 Sweden 	 $     151,400,000,000 	 2007 est.
27 	 Malaysia 	 $     139,100,000,000 	 2007 est.
28 	 Thailand 	 $     125,200,000,000 	 2007 est.
29 	 Brazil 	 $     120,600,000,000 	 2007 est.
30 	 United Arab Emirates 	 $     116,600,000,000 	 2007 est.
31 	 Czech Republic 	 $     116,600,000,000 	 2007 est.
32 	 Denmark 	 $     102,000,000,000 	 2007 est.
33 	 Hungary 	 $      86,880,000,000 	 2007 est.
34 	 Indonesia 	 $      84,930,000,000 	 2007 est.
35 	 Ireland 	 $      84,760,000,000 	 2007 est.
36 	 Saudi Arabia 	 $      82,640,000,000 	 2007 est.
37 	 South Africa 	 $      81,890,000,000 	 2007 est.
38 	 Greece 	 $      80,790,000,000 	 2007 est.
39 	 Finland 	 $      78,050,000,000 	 2007 est.
40 	 Norway 	 $      77,240,000,000 	 2007 est.
41 	 Portugal 	 $      75,300,000,000 	 2007 est.
42 	 Romania 	 $      64,540,000,000 	 2007 est.
43 	 Ukraine 	 $      60,410,000,000 	 2007 est.
44 	 Vietnam 	 $      58,920,000,000 	 2007 est.
45 	 Slovakia 	 $      58,400,000,000 	 2007 est.
46 	 Philippines 	 $      57,560,000,000 	 2007 est.
47 	 Israel 	 $      55,790,000,000 	 2007 est.
48 	 Iran 	 $      53,880,000,000 	 2007 est.
49 	 Venezuela 	 $      45,460,000,000 	 2007 est.
50 	 Egypt 	 $      44,950,000,000 	 2007 est.
51 	 Chile 	 $      43,990,000,000 	 2007 est.
52 	 Argentina 	 $      42,530,000,000 	 2007 est.
53 	 Nigeria 	 $      38,500,000,000 	 2007 est.
54 	 Kazakhstan 	 $      33,210,000,000 	 2007 est.
55 	 Colombia 	 $      31,170,000,000 	 2007 est.
56 	 Slovenia 	 $      29,390,000,000 	 2007 est.
57 	 Puerto Rico 	 $      29,100,000,000 	 2001
58 	 New Zealand 	 $      29,060,000,000 	 2007 est.
59 	 Pakistan 	 $      28,760,000,000 	 2007 est.
60 	 Bulgaria 	 $      28,670,000,000 	 2007 est.
61 	 Morocco 	 $      28,500,000,000 	 2007 est.
62 	 Belarus 	 $      28,320,000,000 	 2007 est.
63 	 Algeria 	 $      26,250,000,000 	 2007 est.
64 	 Croatia 	 $      25,990,000,000 	 2007 est.
65 	 Iraq 	 $      25,670,000,000 	 2007 est.
66 	 Luxembourg 	 $      23,130,000,000 	 2007 est.
67 	 Lithuania 	 $      22,800,000,000 	 2007 est.
68 	 Kuwait 	 $      20,640,000,000 	 2007 est.
69 	 Qatar 	 $      19,860,000,000 	 2007 est.
70 	 Peru 	 $      19,600,000,000 	 2007 est.
