This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange & gold 	 Date of Information
118 	 Lesotho 	 $        460,000,000 	 2003
119 	 Madagascar 	 $        423,000,000 	 2003
120 	 Kyrgyzstan 	 $        399,300,000 	 2003
121 	 Burkina Faso 	 $        379,000,000 	 2003
122 	 Namibia 	 $        325,200,000 	 2003
123 	 Moldova 	 $        302,300,000 	 2003
124 	 Swaziland 	 $        277,500,000 	 2003
125 	 Dominican Republic 	 $        261,000,000 	 2003
126 	 Guyana 	 $        257,000,000 	 2003
127 	 Togo 	 $        257,000,000 	 2003
128 	 Zambia 	 $        247,700,000 	 2003
129 	 Rwanda 	 $        215,000,000 	 2003
130 	 Equatorial Guinea 	 $        206,000,000 	 2003
131 	 Gabon 	 $        201,900,000 	 2003
132 	 Laos 	 $        201,000,000 	 2003
133 	 Chad 	 $        191,800,000 	 2003
134 	 Guinea 	 $        191,000,000 	 2003
135 	 Georgia 	 $        190,700,000 	 2003
136 	 Malawi 	 $        132,000,000 	 2003
137 	 Gambia, The 	 $        118,000,000 	 2003
138 	 Tajikistan 	 $        117,600,000 	 2003
139 	 Cape Verde 	 $         88,020,000 	 2003
140 	 Belize 	 $         84,700,000 	 2003
141 	 Zimbabwe 	 $         78,000,000 	 2003
142 	 Haiti 	 $         73,000,000 	 2003
143 	 Burundi 	 $         67,400,000 	 2003
144 	 Seychelles 	 $         66,000,000 	 2003
145 	 Congo, Republic of the 	 $         44,530,000 	 2003
146 	 Eritrea 	 $         28,000,000 	 2003
147 	 Sao Tome and Principe 	 $         18,000,000 	 2003

 This file was last updated on 10 February, 2005
