This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
1 	 China 	       778,100,000 	 2003 est.
2 	 India 	       472,000,000 	 2003
3 	 European Union 	       211,100,000 	 
4 	 United States 	       147,400,000 	 2003
5 	 Indonesia 	       105,700,000 	 2003
6 	 Brazil 	        82,590,000 	 2003 est.
7 	 Russia 	        71,680,000 	 2003 est.
8 	 Japan 	        66,660,000 	 2003
9 	 Bangladesh 	        64,020,000 	 2003
10 	 Nigeria 	        54,360,000 	 2003 est.
11 	 Vietnam 	        45,740,000 	 2003 est.
12 	 Pakistan 	        43,980,000 	 2003
13 	 Germany 	        42,630,000 	 2003
14 	 Thailand 	        34,900,000 	 2003 est.
15 	 Philippines 	        34,560,000 	 2003
16 	 Mexico 	        34,110,000 	 2003
17 	 United Kingdom 	        29,600,000 	 2003
18 	 France 	        27,390,000 	 2003 est.
19 	 Italy 	        24,150,000 	 2003 est.
20 	 Turkey 	        23,790,000 	 2003
21 	 Korea, South 	        22,920,000 	 2003
22 	 Iran 	        22,320,000 	 2003 est.
23 	 Burma 	        22,140,000 	 2003 est.
24 	 Ukraine 	        21,290,000 	 2003
25 	 Colombia 	        20,340,000 	 2003 est.
26 	 Egypt 	        20,190,000 	 2003 est.
27 	 Spain 	        18,820,000 	 2003
28 	 Tanzania 	        18,560,000 	 2003
29 	 Canada 	        17,040,000 	 2003 est.
30 	 Poland 	        16,920,000 	 2003 est.
31 	 South Africa 	        16,350,000 	 2003
32 	 Argentina 	        14,920,000 	 2003
33 	 Congo, Democratic Republic of the 	        14,510,000 	 1993 est.
34 	 Uzbekistan 	        14,200,000 	 2003 est.
35 	 Uganda 	        12,090,000 	 2003 est.
36 	 Afghanistan 	        11,800,000 	 2001 est.
37 	 Kenya 	        11,450,000 	 2003 est.
38 	 Venezuela 	        11,380,000 	 2003
39 	 Sudan 	        11,000,000 	 1996 est.
40 	 Morocco 	        10,840,000 	 2003
41 	 Malaysia 	        10,260,000 	 2003 est.
42 	 Australia 	        10,190,000 	 37256
43 	 Taiwan 	        10,080,000 	 2003
44 	 Ghana 	        10,000,000 	 2003 est.
45 	 Nepal 	        10,000,000 	 1996 est.
46 	 Algeria 	         9,600,000 	 2003
47 	 Korea, North 	         9,600,000 	 
48 	 Romania 	         9,280,000 	 2003 est.
49 	 Mozambique 	         9,200,000 	 2000 est.
50 	 Peru 	         8,630,000 	 2003 est.
51 	 Iraq 	         7,800,000 	 2004 est.
52 	 Kazakhstan 	         7,634,000 	 2003
53 	 Netherlands 	         7,460,000 	 2003
54 	 Madagascar 	         7,300,000 	 2000
55 	 Sri Lanka 	         7,170,000 	 2003
56 	 Cambodia 	         7,000,000 	 2003 est.
57 	 Cote d'Ivoire 	         6,640,000 	 2003
58 	 Cameroon 	         6,490,000 	 2003
59 	 Saudi Arabia 	         6,430,000 	 2003
60 	 Chile 	         6,000,000 	 2003 est.
61 	 Yemen 	         5,790,000 	 2003 est.
62 	 Angola 	         5,570,000 	 2003 est.
63 	 Portugal 	         5,409,000 	 2003
64 	 Czech Republic 	         5,250,000 	 2003 est.
65 	 Burkina Faso 	         5,000,000 	 2003
66 	 Azerbaijan 	         4,990,000 	 2003
67 	 Syria 	         4,970,000 	 2003 est.
68 	 Belarus 	         4,800,000 	 2000 est.
69 	 Belgium 	         4,730,000 	 2003
70 	 Senegal 	         4,620,000 	 2003
71 	 Rwanda 	         4,600,000 	 2000
72 	 Zambia 	         4,590,000 	 2003
73 	 Cuba 	         4,580,000 	 2003 est.
74 	 Malawi 	         4,500,000 	 2001 est.
75 	 Sweden 	         4,449,000 	 2003 est.
76 	 Greece 	         4,390,000 	 2003 est.
77 	 Ecuador 	         4,360,000 	 2003
78 	 Zimbabwe 	         4,170,000 	 2003 est.
79 	 Hungary 	         4,164,000 	 2003
80 	 Bolivia 	         4,100,000 	 2003
81 	 Mali 	         3,930,000 	 2001 est.
82 	 Guatemala 	         3,840,000 	 2003 est.
83 	 Switzerland 	         3,720,000 	 2003
84 	 Somalia 	         3,700,000 	 
85 	 Haiti 	         3,600,000 	 1995
86 	 Hong Kong 	         3,500,000 	 2003 est.
87 	 Tunisia 	         3,461,000 	 2003 est.
88 	 Austria 	         3,425,000 	 2003
89 	 Bulgaria 	         3,333,000 	 2003 est.
90 	 Papua New Guinea 	         3,250,000 	 2003
91 	 Tajikistan 	         3,187,000 	 2000
92 	 Guinea 	         3,000,000 	 1999
93 	 Burundi 	         2,990,000 	 2002
94 	 Serbia and Montenegro 	         2,930,000 	 2003 est.
95 	 Denmark 	         2,863,000 	 2003 est.
96 	 Kyrgyzstan 	         2,700,000 	 2000
97 	 El Salvador 	         2,620,000 	 2003
98 	 Israel 	         2,610,000 	 2003 est.
99 	 Laos 	         2,600,000 	 2001 est.
100 	 Finland 	         2,599,000 	 2003 est.
101 	 Slovakia 	         2,580,000 	 2003
102 	 Honduras 	         2,410,000 	 2003 est.
103 	 Norway 	         2,380,000 	 2003 est.
104 	 Turkmenistan 	         2,340,000 	 1996
105 	 Singapore 	         2,200,000 	 2003
106 	 United Arab Emirates 	         2,160,000 	 2003
107 	 Paraguay 	         2,150,000 	 2003 est.
108 	 Georgia 	         2,100,000 	 2001 est.
109 	 New Zealand 	         2,008,000 	 2003 est.
110 	 Nicaragua 	         1,910,000 	 2003
111 	 Ireland 	         1,871,000 	 2003
112 	 Costa Rica 	         1,758,000 	 2003
113 	 Togo 	         1,740,000 	 1996
114 	 Croatia 	         1,690,000 	 2003
115 	 Lithuania 	         1,642,000 	 2003 est.
116 	 Uruguay 	         1,560,000 	 2003
117 	 Libya 	         1,510,000 	 2003 est.
118 	 Lebanon 	         1,500,000 	 2001 est.
119 	 Armenia 	         1,400,000 	 2001
120 	 Mongolia 	         1,400,000 	 2001
121 	 Moldova 	         1,383,000 	 2003
122 	 Kuwait 	         1,380,000 	 2003 est.
123 	 Sierra Leone 	         1,369,000 	 1981 est.
124 	 Jordan 	         1,360,000 	 2003
125 	 Albania 	         1,350,000 	 2003 est.
126 	 Puerto Rico 	         1,300,000 	 2000
127 	 Panama 	         1,190,000 	 2003 est.
128 	 Latvia 	         1,180,000 	 2003 est.
129 	 Jamaica 	         1,130,000 	 2003
130 	 Bosnia and Herzegovina 	         1,026,000 	 2001
131 	 Oman 	          920,000 	 2002 est.
132 	 Slovenia 	          875,000 	 2003
133 	 Macedonia 	          860,000 	 2003 est.
134 	 Lesotho 	          838,000 	 2000
135 	 Mauritania 	          786,000 	 2001
136 	 Namibia 	          760,000 	 2003
