This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
125 	 Nepal 	      1,764,000,000 	 2001
126 	 Macau 	      1,688,000,000 	 2002
127 	 Malta 	      1,644,000,000 	 2001
128 	 Uganda 	      1,620,000,000 	 2001
129 	 Ethiopia 	      1,594,000,000 	 2001
130 	 Botswana 	      1,564,000,000 	 2001
131 	 New Caledonia 	      1,500,000,000 	 2001
132 	 Bahamas, The 	      1,451,000,000 	 2001
133 	 Senegal 	      1,412,000,000 	 2001
134 	 Papua New Guinea 	      1,391,000,000 	 2001
135 	 Mozambique 	      1,390,000,000 	 2001
136 	 Angola 	      1,348,000,000 	 2001
137 	 Mauritius 	      1,219,000,000 	 2001
138 	 Guadeloupe 	      1,074,000,000 	 2001
139 	 Martinique 	      1,070,000,000 	 2001
140 	 Reunion 	      1,005,000,000 	 2001
141 	 Netherlands Antilles 	       986,800,000 	 2001
142 	 Swaziland 	       962,900,000 	 2001
143 	 Virgin Islands 	       957,900,000 	 2001
144 	 Laos 	       824,700,000 	 2001
145 	 Guyana 	       792,400,000 	 2001
146 	 Madagascar 	       772,100,000 	 2001
147 	 Guam 	       771,900,000 	 2001
148 	 Gabon 	       742,500,000 	 2001
149 	 Guinea 	       735,200,000 	 2001
150 	 Barbados 	       725,400,000 	 2001
151 	 Malawi 	       715,300,000 	 2001
152 	 Congo, Republic of the 	       633,000,000 	 2001
153 	 Benin 	       631,100,000 	 2001
154 	 Togo 	       614,500,000 	 2001
155 	 Namibia 	       603,100,000 	 2001
156 	 Bermuda 	       598,600,000 	 2001
157 	 Haiti 	       539,400,000 	 2001
158 	 Afghanistan 	       511,400,000 	 2001
159 	 Aruba 	       494,700,000 	 2001
160 	 Fiji 	       483,700,000 	 2001
161 	 Mali 	       446,600,000 	 2001
162 	 Liberia 	       435,900,000 	 2001
163 	 French Guiana 	       423,200,000 	 2001
164 	 French Polynesia 	       398,300,000 	 2001
165 	 Bhutan 	       379,500,000 	 2001
166 	 Cayman Islands 	       355,200,000 	 2001
167 	 Niger 	       325,100,000 	 2001
168 	 Burkina Faso 	       259,600,000 	 2001
169 	 Sierra Leone 	       232,600,000 	 2001
170 	 Greenland 	       227,900,000 	 2001
171 	 Somalia 	       227,900,000 	 2001
172 	 Eritrea 	       205,100,000 	 2001
173 	 Belize 	       185,500,000 	 2001
174 	 Burundi 	       177,500,000 	 2001
175 	 Djibouti 	       167,400,000 	 2001
176 	 Faroe Islands 	       149,100,000 	 2001
177 	 Seychelles 	       148,800,000 	 2001
178 	 Mauritania 	       146,300,000 	 2001
179 	 Rwanda 	       140,000,000 	 2001
180 	 Grenada 	       128,300,000 	 2001
181 	 American Samoa 	       120,900,000 	 2001
182 	 Saint Lucia 	       111,800,000 	 2001
183 	 Cambodia 	       110,600,000 	 2001
184 	 Maldives 	       108,800,000 	 2001
185 	 Central African Republic 	        98,630,000 	 2001
186 	 Antigua and Barbuda 	        97,890,000 	 2001
187 	 Samoa 	        97,740,000 	 2001
188 	 Saint Kitts and Nevis 	        93,260,000 	 2001
189 	 Gibraltar 	        93,000,000 	 2001
190 	 Chad 	        87,460,000 	 2001
191 	 Saint Vincent and the Grenadines 	        86,000,000 	 2001
192 	 Western Sahara 	        83,700,000 	 2001
193 	 Gambia, The 	        79,360,000 	 2001
194 	 Dominica 	        67,350,000 	 2001
195 	 Guinea-Bissau 	        51,150,000 	 2001
196 	 Anguilla 	        42,600,000 	 
197 	 Vanuatu 	        40,420,000 	 2001
198 	 Lesotho 	        40,000,000 	 2001
199 	 Cape Verde 	        39,080,000 	 2001
200 	 Saint Pierre and Miquelon 	        39,080,000 	 2001
201 	 British Virgin Islands 	        35,430,000 	 2001
202 	 Solomon Islands 	        29,760,000 	 2001
203 	 Nauru 	        27,900,000 	 2001
204 	 Cook Islands 	        25,510,000 	 2001
205 	 Tonga 	        25,360,000 	 2001
206 	 Equatorial Guinea 	        21,910,000 	 2001
207 	 Comoros 	        19,780,000 	 2001
208 	 Sao Tome and Principe 	        15,810,000 	 2001
209 	 Falkland Islands (Islas Malvinas) 	        15,190,000 	 2001
210 	 Kiribati 	         6,510,000 	 2001
211 	 Saint Helena 	         4,650,000 	 2001
212 	 Turks and Caicos Islands 	         4,650,000 	 2001
213 	 Niue 	         2,790,000 	 2001
214 	 Montserrat 	         2,325,000 	 2001

 This file was last updated on 10 February, 2005
