This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Natural gas - consumption(cu m) 	 Date of Information
68 	 Singapore 	      2,500,000,000 	 2001 est.
69 	 Burma 	      2,150,000,000 	 2001 est.
70 	 Moldova 	      2,050,000,000 	 2001 est.
71 	 Greece 	      2,021,000,000 	 2001 est.
72 	 Kyrgyzstan 	      2,016,000,000 	 2001 est.
73 	 South Africa 	      1,800,000,000 	 2001 est.
74 	 Latvia 	      1,700,000,000 	 2001 est.
75 	 Armenia 	      1,400,000,000 	 2001 est.
76 	 Brunei 	      1,350,000,000 	 2001 est.
77 	 Cote d'Ivoire 	      1,350,000,000 	 2001 est.
78 	 Tajikistan 	      1,300,000,000 	 2001 est.
79 	 Vietnam 	      1,300,000,000 	 2001 est.
80 	 Estonia 	      1,270,000,000 	 2001 est.
81 	 Georgia 	      1,160,000,000 	 2001 est.
82 	 Bolivia 	      1,150,000,000 	 2001 est.
83 	 Slovenia 	      1,040,000,000 	 2001 est.
84 	 Sweden 	       949,000,000 	 2001 est.
85 	 Luxembourg 	       865,000,000 	 2001 est.
86 	 Hong Kong 	       680,900,000 	 2001 est.
87 	 Puerto Rico 	       630,000,000 	 2001 est.
88 	 Serbia and Montenegro 	       602,000,000 	 2001 est.
89 	 Cuba 	       600,000,000 	 2001 est.
90 	 Angola 	       530,000,000 	 2001 est.
91 	 Peru 	       370,000,000 	 2001 est.
92 	 Bosnia and Herzegovina 	       300,000,000 	 2001 est.
93 	 Jordan 	       290,000,000 	 2001 est.
94 	 Afghanistan 	       220,000,000 	 2001 est.
95 	 Ecuador 	       160,000,000 	 2001 est.
96 	 Papua New Guinea 	       110,000,000 	 2001 est.
97 	 Gabon 	        80,000,000 	 2001 est.
98 	 Mozambique 	        60,000,000 	 2001 est.
99 	 Morocco 	        50,000,000 	 2001 est.
100 	 Senegal 	        50,000,000 	 2001 est.
101 	 Uruguay 	        40,000,000 	 2001 est.
102 	 Albania 	        30,000,000 	 2001 est.
103 	 Barbados 	        29,170,000 	 2001 est.
104 	 Equatorial Guinea 	        20,000,000 	 2001 est.
105 	 Israel 	        10,000,000 	 2001 est.
106 	 Philippines 	        10,000,000 	 2001 est.
107 	 Congo, Republic of the 	               0 	 2001 est.
108 	 Cameroon 	               0 	 2001 est.
109 	 Yemen 	               0 	 2001 est.

 This file was last updated on 10 February, 2005
