This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Population 	 Date of Information
113 	 Finland 	         5,223,442 	 July 2005 est.
114 	 Kyrgyzstan 	         5,146,281 	 July 2005 est.
115 	 Turkmenistan 	         4,952,081 	 July 2005 est.
116 	 Georgia 	         4,677,401 	 July 2005 est.
117 	 Norway 	         4,593,041 	 July 2005 est.
118 	 Eritrea 	         4,561,599 	 July 2005 est.
119 	 Croatia 	         4,495,904 	 July 2005 est.
120 	 Moldova 	         4,455,421 	 July 2005 est.
121 	 Singapore 	         4,425,720 	 July 2005 est.
122 	 New Zealand 	         4,035,461 	 July 2005 est.
123 	 Bosnia and Herzegovina 	         4,025,476 	 July 2005 est.
124 	 Costa Rica 	         4,016,173 	 July 2005 est.
125 	 Ireland 	         4,015,676 	 July 2005 est.
126 	 Puerto Rico 	         3,916,632 	 July 2005 est.
127 	 Lebanon 	         3,826,018 	 July 2005 est.
128 	 Central African Republic 	         3,799,897 	 July 2005 est.
129 	 Lithuania 	         3,596,617 	 July 2005 est.
130 	 Albania 	         3,563,112 	 July 2005 est.
131 	 Liberia 	         3,482,211 	 July 2005 est.
132 	 Uruguay 	         3,415,920 	 July 2005 est.
133 	 Mauritania 	         3,086,859 	 July 2005 est.
134 	 Panama 	         3,039,150 	 July 2005 est.
135 	 Oman 	         3,001,583 	 July 2005 est.
136 	 Congo, Republic of the 	         2,998,040 	 July 2005 est.
137 	 Armenia 	         2,982,904 	 July 2005 est.
138 	 Mongolia 	         2,791,272 	 July 2005 est.
139 	 Jamaica 	         2,731,832 	 July 2005 est.
140 	 United Arab Emirates 	         2,563,212 	 July 2005 est.
141 	 West Bank 	         2,385,615 	 
142 	 Kuwait 	         2,335,648 	 July 2005 est.
143 	 Latvia 	         2,290,237 	 July 2005 est.
144 	 Bhutan 	         2,232,291 	 July 2005 est.
145 	 Macedonia 	         2,045,262 	 July 2005 est.
146 	 Namibia 	         2,030,692 	 July 2005 est.
147 	 Slovenia 	         2,011,070 	 July 2005 est.
148 	 Lesotho 	         1,867,035 	 July 2005 est.
149 	 Botswana 	         1,640,115 	 July 2005 est.
150 	 Gambia, The 	         1,593,256 	 July 2005 est.
151 	 Guinea-Bissau 	         1,416,027 	 July 2005 est.
152 	 Gabon 	         1,389,201 	 July 2005 est.
153 	 Gaza Strip 	         1,376,289 	 July 2005 est.
154 	 Estonia 	         1,332,893 	 July 2005 est.
155 	 Mauritius 	         1,230,602 	 July 2005 est.
156 	 Swaziland 	         1,173,900 	 July 2005 est.
157 	 Trinidad and Tobago 	         1,088,644 	 July 2005 est.
158 	 East Timor 	         1,040,880 	 July 2005 est.
159 	 Fiji 	          893,354 	 July 2005 est.
160 	 Qatar 	          863,051 	 July 2005 est.
161 	 Cyprus 	          780,133 	 July 2005 est.
162 	 Reunion 	          776,948 	 July 2005 est.
163 	 Guyana 	          765,283 	 July 2005 est.
164 	 Bahrain 	          688,345 	 July 2005 est.
165 	 Comoros 	          671,247 	 July 2005 est.
166 	 Solomon Islands 	          538,032 	 July 2005 est.
167 	 Equatorial Guinea 	          535,881 	 July 2005 est.
168 	 Djibouti 	          476,703 	 July 2005 est.
169 	 Luxembourg 	          468,571 	 July 2005 est.
170 	 Guadeloupe 	          448,713 	 July 2005 est.
171 	 Macau 	          445,286 	 July 2005 est.
172 	 Suriname 	          438,144 	 July 2005 est.
173 	 Martinique 	          432,900 	 July 2005 est.
174 	 Cape Verde 	          418,224 	 July 2005 est.
175 	 Malta 	          398,534 	 July 2005 est.
176 	 Brunei 	          372,361 	 July 2005 est.
177 	 Maldives 	          349,106 	 July 2005 est.
178 	 Bahamas, The 	          301,790 	 July 2005 est.
179 	 Iceland 	          296,737 	 July 2005 est.
180 	 Belize 	          279,457 	 July 2005 est.
181 	 Barbados 	          279,254 	 July 2005 est.
182 	 Western Sahara 	          273,008 	 July 2005 est.
183 	 French Polynesia 	          270,485 	 July 2005 est.
184 	 Netherlands Antilles 	          219,958 	 July 2005 est.
185 	 New Caledonia 	          216,494 	 July 2005 est.
186 	 Vanuatu 	          205,754 	 July 2005 est.
187 	 French Guiana 	          195,506 	 July 2005 est.
188 	 Mayotte 	          193,633 	 July 2005 est.
189 	 Sao Tome and Principe 	          187,410 	 July 2005 est.
190 	 Samoa 	          177,287 	 July 2005 est.
191 	 Guam 	          168,564 	 July 2005 est.
192 	 Saint Lucia 	          166,312 	 July 2005 est.
193 	 Saint Vincent and the Grenadines 	          117,534 	 July 2005 est.
194 	 Tonga 	          112,422 	 July 2005 est.
195 	 Virgin Islands 	          108,708 	 July 2005 est.
196 	 Micronesia, Federated States of 	          108,105 	 July 2005 est.
197 	 Kiribati 	          103,092 	 July 2005 est.
198 	 Jersey 	           90,812 	 July 2005 est.
199 	 Grenada 	           89,502 	 July 2005 est.
200 	 Seychelles 	           81,188 	 July 2005 est.
201 	 Northern Mariana Islands 	           80,362 	 July 2005 est.
202 	 Man, Isle of 	           75,049 	 July 2005 est.
203 	 Aruba 	           71,566 	 July 2005 est.
204 	 Andorra 	           70,549 	 July 2005 est.
205 	 Dominica 	           69,029 	 July 2005 est.
206 	 Antigua and Barbuda 	           68,722 	 July 2005 est.
207 	 Bermuda 	           65,365 	 July 2005 est.
208 	 Guernsey 	           65,228 	 July 2005 est.
209 	 Marshall Islands 	           59,071 	 July 2005 est.
210 	 American Samoa 	           57,881 	 July 2005 est.
211 	 Greenland 	           56,375 	 July 2005 est.
212 	 Faroe Islands 	           46,962 	 July 2005 est.
213 	 Cayman Islands 	           44,270 	 July 2005 est.
214 	 Saint Kitts and Nevis 	           38,958 	 July 2005 est.
215 	 Liechtenstein 	           33,717 	 July 2005 est.
216 	 Monaco 	           32,409 	 July 2005 est.
217 	 San Marino 	           28,880 	 July 2005 est.
218 	 Gibraltar 	           27,884 	 July 2005 est.
219 	 British Virgin Islands 	           22,187 	 July 2005 est.
220 	 Cook Islands 	           21,388 	 July 2005 est.
221 	 Turks and Caicos Islands 	           20,556 	 July 2005 est.
222 	 Palau 	           20,303 	 July 2005 est.
223 	 Wallis and Futuna 	           16,025 	 July 2005 est.
224 	 Anguilla 	           13,254 	 July 2005 est.
225 	 Nauru 	           13,048 	 July 2005 est.
226 	 Tuvalu 	           11,636 	 July 2005 est.
227 	 Montserrat 	            9,341 	 July 2005 est.
228 	 Saint Helena 	            7,460 	 July 2005 est.
229 	 Saint Pierre and Miquelon 	            7,012 	 July 2005 est.
230 	 Falkland Islands (Islas Malvinas) 	            2,967 	 July 2005 est.
231 	 Svalbard 	            2,701 	 July 2005 est.
232 	 Niue 	            2,166 	 July 2005 est.
233 	 Norfolk Island 	            1,828 	 July 2005 est.
234 	 Tokelau 	            1,405 	 July 2005 est.
235 	 Holy See (Vatican City) 	             921 	 July 2005 est.
236 	 Cocos (Keeling) Islands 	             628 	 July 2005 est.
237 	 Johnston Atoll 	             361 	 July 2005 est.
238 	 Christmas Island 	             361 	 July 2005 est.
239 	 Pitcairn Islands 	              46 	 July 2005 est.

 This file was last updated on 10 February, 2005
