This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
1 	 Andorra 	     83.51 	 2004 est.
2 	 Macau 	     82.03 	 2004 est.
3 	 San Marino 	     81.62 	 2004 est.
4 	 Singapore 	     81.62 	 2004 est.
5 	 Hong Kong 	     81.39 	 2004 est.
6 	 Japan 	     81.15 	 2004 est.
7 	 Sweden 	     80.40 	 2004 est.
8 	 Australia 	     80.39 	 2004 est.
9 	 Switzerland 	     80.39 	 2004 est.
10 	 Guernsey 	     80.30 	 2004 est.
11 	 Iceland 	     80.19 	 2004 est.
12 	 Canada 	     80.10 	 2004 est.
13 	 Cayman Islands 	     79.95 	 2004 est.
14 	 Italy 	     79.68 	 2004 est.
15 	 Gibraltar 	     79.67 	 2004 est.
16 	 France 	     79.60 	 2004 est.
17 	 Monaco 	     79.57 	 2004 est.
18 	 Liechtenstein 	     79.55 	 2004 est.
19 	 Spain 	     79.52 	 2004 est.
20 	 Norway 	     79.40 	 2004 est.
21 	 Israel 	     79.32 	 2004 est.
22 	 Jersey 	     79.24 	 2004 est.
23 	 Faroe Islands 	     79.21 	 2004 est.
24 	 Aruba 	     79.14 	 2004 est.
25 	 Greece 	     79.09 	 2004 est.
26 	 Martinique 	     79.04 	 2004 est.
27 	 Austria 	     78.92 	 2004 est.
28 	 Virgin Islands 	     78.91 	 2004 est.
29 	 Malta 	     78.86 	 2004 est.
30 	 Netherlands 	     78.81 	 2004 est.
31 	 Luxembourg 	     78.74 	 2004 est.
32 	 Montserrat 	     78.71 	 2004 est.
33 	 New Zealand 	     78.66 	 2004 est.
34 	 Germany 	     78.65 	 2004 est.
35 	 Belgium 	     78.62 	 2004 est.
36 	 Saint Pierre and Miquelon 	     78.46 	 2004 est.
37 	 Guam 	     78.40 	 2004 est.
38 	 United Kingdom 	     78.38 	 2004 est.
39 	 Finland 	     78.35 	 2004 est.
40 	 Man, Isle of 	     78.34 	 2004 est.
41 	 Jordan 	     78.24 	 2004 est.
42 	 European Union 	     78.10 	 July 2004 est.
43 	 Guadeloupe 	     77.90 	 2004 est.
44 	 Bermuda 	     77.79 	 2004 est.
45 	 Saint Helena 	     77.76 	 2004 est.
46 	 United States 	     77.71 	 2004 est.
47 	 Cyprus 	     77.65 	 2004 est.
48 	 Denmark 	     77.62 	 2004 est.
49 	 Puerto Rico 	     77.62 	 2004 est.
50 	 Ireland 	     77.56 	 2004 est.
51 	 Portugal 	     77.53 	 2004 est.
52 	 Taiwan 	     77.26 	 2004 est.
53 	 Albania 	     77.24 	 2004 est.
54 	 Cuba 	     77.23 	 2004 est.
